This file was gnenerated on 2021-06-21 16:28:57.559435 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0     1.1464
   1     0
   2     0.8942
   3     0.6499
   4     0.7772
   5     0.3019
   6     0.1854
   7     0
   8    46.9522
   9    66.7994
  10    31.7686
  11    29.1096
  12     0.4694
  13     0.8314
  14     0.5605
  15     0
  16   498.914
  17   441.763
  18   457.571
  19   400.944
  20   236.175
  21   179.211
  22    72.5753
  23    22.1732
  24  1452.07
  25  1447.29
  26  1229.27
  27  1070.96
  28   911.321
  29   705.77
  30   525.319
  31   160.568
  32  1149.79
  33  1196.28
  34   900.193
  35   874.053
  36   963.558
  37   710.045
  38   424.248
  39   145.843
  40   296.605
  41   294.332
  42   219.834
  43   262.824
  44   262.211
  45   255.115
  46    89.8456
  47    26.2981
  48    56.645
  49    43.1759
  50    17.3884
  51    39.5288
  52    26.824
  53    29.6174
  54     6.4413
  55     2.835
  56     1.2672
  57     1.4746
  58     0.4105
  59     0.2326
  60     1.378
  61     0.9424
  62     0.1313
  63     0
