This file was gnenerated on 2021-06-21 22:52:16.621872 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0    31.9892
   1    13.5717
   2     7.41306
   3    13.0021
   4    36.8919
   5    47.5854
   6    25.4789
   7    30.087
   8   455.051
   9   673.798
  10   649.834
  11   531.12
  12   502.304
  13   434.956
  14   188.835
  15    66.0054
  16  4629.77
  17  4691.02
  18  5091.6
  19  4925.77
  20  5012.02
  21  4334.43
  22  2735.82
  23  1157.1
  24  7145.74
  25  7186
  26  7702.36
  27  7996.51
  28  7723.03
  29  6572.6
  30  4192.63
  31  1563.91
  32  7185.45
  33  8266.44
  34  8640.13
  35  8419.85
  36  7394.94
  37  6066.84
  38  3631.85
  39  1452.06
  40  4934.29
  41  5273.02
  42  5361.37
  43  5285.31
  44  5029.42
  45  4456.68
  46  2667.69
  47   857.984
  48   621.796
  49   542.778
  50   596.935
  51   726.873
  52   661.063
  53   496.58
  54   197.647
  55    73.8811
  56     3.72197
  57    15.7081
  58    25.7757
  59    20.128
  60    11.3696
  61    10.7611
  62    71.5347
  63    83.4321
