This file was gnenerated on 2021-06-21 23:32:25.722113 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id         edep
   0      8.24742
   1      9.09278
   2      8.30856
   3      8.87759
   4      3.89634
   5      3.89164
   6     31.3819
   7     29.7541
   8    256.903
   9    315.821
  10    258.675
  11    262.583
  12    124.034
  13    217.588
  14    134.239
  15     36.3496
  16   3799.69
  17   4270.01
  18   4433.81
  19   3645.16
  20   3280.26
  21   2563.45
  22   1559.72
  23    570.064
  24  11126.4
  25  11753.2
  26  11469.5
  27  11323.1
  28  10435.2
  29   8174.44
  30   5087.66
  31   1880.29
  32  11276.7
  33  11484.5
  34  11824.1
  35  11657.3
  36   9868.97
  37   7594.91
  38   4852.08
  39   2065.04
  40   3600.06
  41   4039.08
  42   4070.11
  43   3660.09
  44   3350.93
  45   2350.99
  46   1474.82
  47    511.527
  48    142.257
  49    232.629
  50    165.144
  51    223.548
  52    148.071
  53    157.027
  54     76.918
  55     29.6328
  56     40.6357
  57     10.9801
  58      5.20285
  59     26.515
  60     11.163
  61     30.4438
  62      2.90202
  63     10.5267
