This file was gnenerated on 2021-06-21 23:05:37.398326 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0    87.7188
   1    59.6783
   2   136.409
   3   296.074
   4   205.01
   5   113.694
   6    46.8698
   7    23.9516
   8  1189.98
   9  1454.5
  10  1555.21
  11  1622.95
  12  1590.57
  13  1209.79
  14   734.862
  15   330.017
  16  4307.74
  17  4669.55
  18  4827.26
  19  4407.72
  20  4283.22
  21  3953.71
  22  2681.51
  23  1006.8
  24  6854.82
  25  7176.92
  26  7647.99
  27  7785.54
  28  7385.93
  29  5765.25
  30  3615.56
  31  1522.17
  32  6477.57
  33  7265.05
  34  7211.74
  35  6849.2
  36  6786.17
  37  5893.18
  38  3688.89
  39  1474.74
  40  4564.23
  41  4673.39
  42  4885.69
  43  4700.05
  44  4423.73
  45  3678.14
  46  2333.49
  47   828.666
  48  1578.74
  49  1835.05
  50  1817.74
  51  1767.91
  52  1454.48
  53  1227.97
  54   911.087
  55   297.563
  56   169.408
  57   123.529
  58   106.807
  59   159.328
  60   137.871
  61    48.7096
  62    52.0291
  63    39.6377
