This file was gnenerated on 2021-06-21 22:20:06.003314 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0    41.2036
   1    40.1493
   2   100.571
   3    84.2936
   4    51.6905
   5    55.0864
   6    34.7973
   7     9.43538
   8  1192.6
   9  1077.66
  10  1323.6
  11  1268.87
  12  1289.91
  13  1174.91
  14   808.978
  15   301.393
  16  3802.79
  17  3526.47
  18  3745.69
  19  3824.18
  20  3840.15
  21  3697.62
  22  2235.75
  23   958.389
  24  4401.83
  25  4608.2
  26  4320.18
  27  4406.36
  28  4990.32
  29  4346.81
  30  2695.56
  31   875.621
  32  4433.45
  33  4627.23
  34  4918.85
  35  4653.24
  36  4713.81
  37  4982.06
  38  2952.04
  39   976.181
  40  3560.06
  41  3859.78
  42  3954.28
  43  3710.83
  44  3952.21
  45  3907.24
  46  2388.6
  47   840.872
  48  1020.13
  49  1279.95
  50   938.172
  51   960.867
  52  1313.32
  53   965.346
  54   727.644
  55   279.221
  56    14.7013
  57    32.4325
  58    50.7692
  59    33.1627
  60    16.1165
  61    28.3031
  62    26.4978
  63    50.0916
