This file was gnenerated on 2021-06-23 10:10:39.465387 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0   380.137
   1   254.617
   2   333.23
   3   269.725
   4   204.138
   5   169.939
   6    26.3947
   7     8.66109
   8  2642.58
   9  2375.8
  10  2232.81
  11  1621.09
  12  1241.46
  13   972.171
  14   574.701
  15   195.212
  16  7286.35
  17  6734.63
  18  5817.08
  19  5033.88
  20  4107.08
  21  2935.13
  22  2079.2
  23   953.892
  24  8319.91
  25  7540.83
  26  6840.43
  27  5924.44
  28  4818.52
  29  3750.11
  30  2381.71
  31   812.156
  32  8170.49
  33  7907.83
  34  6952.04
  35  5980.08
  36  4553.67
  37  3569.39
  38  2026.94
  39   793.121
  40  7130.44
  41  6882.49
  42  5834.48
  43  5053.27
  44  3836.45
  45  2934.87
  46  1592.82
  47   712.496
  48  2571.55
  49  2388.79
  50  2237.91
  51  1528.52
  52  1463.73
  53  1046.48
  54   604.423
  55   253.174
  56   510.006
  57   512.31
  58   333.383
  59   159.48
  60   156.576
  61    51.3867
  62    30.6962
  63     6.1379
