This file was gnenerated on 2021-06-23 09:15:16.283471 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id         edep
   0    176.338
   1    199.194
   2    123.985
   3    197.68
   4    122.441
   5     43.6852
   6     36.5553
   7      9.40367
   8   1425.21
   9   1298
  10   1099.9
  11    808.781
  12    559.662
  13    264.032
  14    162.52
  15     99.448
  16   5810.35
  17   5722.44
  18   5848.08
  19   4825.86
  20   3917.63
  21   2906.69
  22   1674.73
  23    725.876
  24  10347.7
  25  10073.1
  26   9494.32
  27   8347.36
  28   6835.4
  29   4861.88
  30   2918.51
  31   1153.84
  32  10789.5
  33  10235.8
  34   9224.92
  35   7633.25
  36   6541.67
  37   4794.54
  38   3182.22
  39   1362.39
  40   6195.04
  41   6044.89
  42   5930.3
  43   4413.8
  44   3909.83
  45   2816.96
  46   1748.84
  47    791.267
  48   1121.98
  49   1446.66
  50   1389.66
  51    850.133
  52    440.234
  53    338.453
  54    272.392
  55     32.4484
  56    159.2
  57    281.137
  58    252.638
  59     62.5936
  60     28.1896
  61     23.4256
  62     11.2546
  63      9.17575
