This file was gnenerated on 2021-06-21 22:50:22.279508 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0     5.63692
   1     7.36587
   2    37.2727
   3     7.82525
   4    12.3944
   5    18.746
   6    27.8
   7    28.5613
   8   504.222
   9   476.999
  10   444.02
  11   517.599
  12   544.17
  13   237.492
  14    96.9241
  15    54.0566
  16  4736.75
  17  4771.44
  18  5243.82
  19  5626.57
  20  5228.55
  21  4096.36
  22  2588.61
  23   903.812
  24  7702.67
  25  8185.82
  26  8441.81
  27  8257.36
  28  8246.38
  29  6775.65
  30  4376.32
  31  1554.27
  32  7199.34
  33  8029.61
  34  7961.27
  35  8158.72
  36  7858.02
  37  6378.02
  38  4101.59
  39  1584.88
  40  4743.1
  41  5509.29
  42  5525.39
  43  4919.81
  44  5002.74
  45  4086.19
  46  2704.92
  47  1031.77
  48   436.91
  49   485.867
  50   558.468
  51   491.718
  52   429.904
  53   282.699
  54   120.089
  55    30.2981
  56    20.9427
  57    10.3405
  58     7.46479
  59     7.06796
  60     5.28953
  61    17.2701
  62    10.1236
  63     9.65386
