This file was gnenerated on 2021-06-21 21:39:13.462163 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0    25.1812
   1     7.20207
   2    17.0668
   3    10.7322
   4     9.12102
   5     8.8758
   6    51.7698
   7   123.034
   8    17.8978
   9    24.517
  10    24.5933
  11    25.1643
  12    22.7442
  13    14.8663
  14    18.8953
  15    53.0138
  16    45.3222
  17   114.492
  18    61.1955
  19    61.1055
  20    70.6543
  21    90.8719
  22    52.4359
  23    38.7659
  24  3770.25
  25  4067.58
  26  4099.78
  27  4210.6
  28  4455.27
  29  4510.66
  30  3514.85
  31  1677.44
  32  3550.87
  33  3775.4
  34  4468.5
  35  4192.89
  36  3774.03
  37  4556.28
  38  3219.54
  39  1497.49
  40    53.8621
  41   107.7
  42    60.8766
  43    76.2872
  44   138.968
  45    52.3641
  46    92.2232
  47   110.677
  48    18.865
  49    10.201
  50    24.8461
  51    16.2979
  52    20.6677
  53    19.1359
  54    46.6549
  55    47.2751
  56    12.0202
  57    11.1285
  58    11.025
  59     6.48346
  60     9.5373
  61     9.83331
  62     6.17758
  63    28.1375
