This file was gnenerated on 2021-06-21 21:31:21.049534 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0    14.3273
   1    10.9509
   2    12.9507
   3    17.6719
   4    15.4769
   5    12.7273
   6    32.9095
   7    55.9012
   8    22.2563
   9    22.613
  10    27.682
  11    30.7207
  12    29.79
  13    23.0846
  14    21.6666
  15    29.4347
  16   220.026
  17   185.739
  18   233.895
  19   192.085
  20   159.658
  21   137.201
  22   159.419
  23   205.751
  24  1004.57
  25  1179.1
  26  1121.77
  27  1097.89
  28  1055.27
  29  1135.22
  30  1115.24
  31  1160.68
  32   991.882
  33  1067.1
  34  1045.67
  35  1100.31
  36  1240.3
  37  1166.84
  38  1060.23
  39  1195.49
  40   158.992
  41   122.471
  42   160.67
  43   184.27
  44   194.378
  45   170.83
  46   150.132
  47   219.194
  48    30.6186
  49    28.8235
  50    21.0557
  51    23.4629
  52    27.0659
  53    32.6096
  54    27.1599
  55    21.9754
  56    19.59
  57    33.2006
  58    21.6823
  59    18.496
  60    18.179
  61    12.504
  62    15.1195
  63    21.3989
