This file was gnenerated on 2021-06-23 09:12:11.170752 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0   296.922
   1   340.89
   2   271.596
   3   175.646
   4    95.1038
   5   139.056
   6   104.22
   7    36.0231
   8  2718.54
   9  2483.42
  10  2088.27
  11  1550.72
  12   972.595
  13   686.963
  14   431.371
  15   201.279
  16  6819.86
  17  6409.59
  18  5759.52
  19  5046.06
  20  4104.34
  21  3262.97
  22  2046.14
  23   829.042
  24  8748.31
  25  8998.54
  26  8177.83
  27  7110.25
  28  5817.98
  29  4217.35
  30  2446.03
  31  1022.25
  32  9177.57
  33  9259.95
  34  7202.19
  35  6940.37
  36  5637.25
  37  3950.54
  38  2282.22
  39   921.286
  40  6701.06
  41  6417.72
  42  6165.12
  43  5269.68
  44  3918.21
  45  2835.06
  46  1839.42
  47   706.191
  48  1684.35
  49  2070.95
  50  1960.02
  51  1515.61
  52  1105.68
  53   733.64
  54   462.314
  55   183.209
  56   310.005
  57   196.824
  58   179.331
  59   164.612
  60    93.4149
  61    44.4407
  62    28.454
  63    27.8103
