This file was gnenerated on 2021-06-23 09:11:22.780498 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id         edep
   0    140.507
   1    241.402
   2    125.728
   3    124.642
   4     95.0083
   5     52.7035
   6      6.39694
   7      6.98986
   8   1033.44
   9   1129.61
  10   1058.24
  11    772.949
  12    533.413
  13    291.513
  14     85.8427
  15     25.3017
  16   5819.16
  17   5743.48
  18   5193.82
  19   4341.55
  20   3215.77
  21   2213.21
  22   1415.1
  23    563.303
  24  11411.6
  25  11390.1
  26  10749.3
  27   9200.77
  28   7570.62
  29   5326.02
  30   3339.01
  31   1307.94
  32  12420.7
  33  11776
  34  10144.9
  35   9061.03
  36   7552.13
  37   5226.39
  38   3398.12
  39   1346.57
  40   5623.39
  41   5957.07
  42   5021.61
  43   3890.9
  44   3380.54
  45   2326.76
  46   1332.67
  47    553.6
  48   1078.43
  49   1084.59
  50    862.648
  51    708.533
  52    397.158
  53    176.121
  54     99.1563
  55     68.1032
  56    177.838
  57    113.76
  58    131.8
  59    126.642
  60     78.4348
  61     36.168
  62     25.9582
  63     21.9951
