This file was gnenerated on 2021-06-17 20:54:25.582196 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id      edep
   0    1.0998
   1    0.179
   2    0.3945
   3    1.0026
   4    0.0845
   5    1.2603
   6    2.3892
   7    8.932
   8   40.4964
   9   36.2293
  10   67.2191
  11   37.2789
  12   35.0033
  13    3.0263
  14    3.7533
  15    5.3353
  16  135.932
  17  169.002
  18  157.936
  19  187.936
  20  155.326
  21  104.979
  22   47.6747
  23   38.3983
  24  238.447
  25  235.499
  26  238.708
  27  264.454
  28  322.408
  29  301.535
  30  188.976
  31  105.112
  32  148.03
  33  243.278
  34  298.006
  35  206.254
  36  184.548
  37  248.1
  38  223.895
  39  114.224
  40   65.6292
  41  149.93
  42  138.305
  43  112.999
  44   64.4047
  45  104.189
  46   52.1151
  47   61.7107
  48   13.4273
  49   24.1031
  50   13.7035
  51    8.9903
  52   71.6126
  53   27.7922
  54   33.9005
  55   19.1376
  56    1.8333
  57    0.8539
  58    1.147
  59    2.1406
  60    1.5627
  61    1.0616
  62    1.7124
  63    0.9779
