This file was gnenerated on 2021-06-21 22:28:20.053228 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id         edep
   0      7.88817
   1      5.79237
   2      9.49258
   3      8.01536
   4      5.25746
   5      2.44944
   6     35.3405
   7     30.1075
   8     12.6185
   9      8.30346
  10     23.0143
  11     13.437
  12     27.1449
  13      9.08015
  14     15.6947
  15     82.0101
  16    686.556
  17    838.598
  18    788.91
  19    823.427
  20    727.927
  21    420.208
  22    196.12
  23     82.9598
  24  11956
  25  13621.5
  26  13321.5
  27  13534.3
  28  13090.6
  29  10686.9
  30   6237.47
  31   2247.82
  32  12765.2
  33  13491.8
  34  14420.5
  35  14486.9
  36  13405.4
  37  10689.9
  38   6680.63
  39   2349.37
  40    702.454
  41    619.283
  42    795.669
  43    612.703
  44    562.36
  45    343.163
  46    210.019
  47     72.9924
  48     12.717
  49     14.3172
  50     12.6967
  51     10.7573
  52     37.0727
  53     16.0373
  54     32.4545
  55     31.697
  56     31.4441
  57      7.09009
  58      7.30812
  59      8.16739
  60      5.9277
  61     22.5387
  62     26.4853
  63     37.3115
