Distance_(mm),Gray_Value
0,15
2,102
4,144
6,166
8,178
10,186
12,190
14,190
16,190
18,190
20,189
22,186
24,184
26,183
28,180
30,178
32,177
34,174
36,172
38,171
40,169
42,166
44,165
46,163
48,160
50,159
52,157
54,154
56,153
58,151
60,150
62,148
64,145
66,144
68,142
70,141
72,139
74,136
76,135
78,133
80,132
82,130
84,129
86,127
88,126
90,124
92,123
94,121
96,120
98,118
100,117
102,115
104,114
106,112
108,111
110,109
112,108
114,106
116,105
118,103
120,103
122,102
124,100
126,99
128,97
130,96
132,96
134,94
136,93
138,91
140,90
142,90
144,88
146,87
148,85
150,85
152,84
154,82
156,82
158,81
160,79
162,79
164,78
166,76
168,76
170,75
172,73
174,73
176,72
178,72
180,70
182,69
184,69
186,67
188,67
190,66
192,66
194,64
196,64
198,63
200,63
202,61
204,60
206,60
208,58
210,58
212,58
214,57
216,57
218,55
220,55
222,54
224,54
226,52
228,52
230,52
232,51
234,51
236,49
238,49
240,49
242,48
244,48
246,46
248,46
250,46
252,45
254,45
256,45
258,43
260,43
262,43
264,42
266,42
268,42
270,40
272,40
274,40
276,39
278,39
280,39
282,37
284,37
286,37
288,36
290,36
292,36
294,36
296,34
298,34
300,34
302,34
304,33
306,33
308,33
310,33
312,31
314,31
316,31
318,31
320,30
322,30
324,30
326,30
328,28
330,28
332,28
334,28
336,27
338,27
340,27
342,27
344,27
346,25
348,25
350,25
352,25
354,25
356,24
358,24
360,24
362,24
364,24
366,24
368,22
370,22
372,22
374,22
376,22
378,22
380,21
382,21
384,21
386,21
388,21
390,21
392,19
394,19
396,19
398,19
400,13
402,0
