Distance_(mm),Gray_Value
0,0
2,905037
4,1349196
6,1570217
8,1686047
10,1749770
12,1775389
14,1778429
16,1770776
18,1758726
20,1742334
22,1721762
24,1698965
26,1676983
28,1656900
30,1636491
32,1614671
34,1591929
36,1570543
38,1550948
40,1530811
42,1509697
44,1488474
46,1468608
48,1450262
50,1430559
52,1410259
54,1390556
56,1370419
58,1352236
60,1335355
62,1317877
64,1300291
66,1281728
68,1264413
70,1247804
72,1230109
74,1212795
76,1196294
78,1181802
80,1167635
82,1151786
84,1135611
86,1119219
88,1104075
90,1090180
92,1075905
94,1061792
96,1047354
98,1033948
100,1020975
102,1007025
104,993022
106,979181
108,966697
110,954864
112,942380
114,929896
116,916869
118,904548
120,892824
122,880774
124,869050
126,857543
128,847013
130,836863
132,825953
134,814989
136,803645
138,792898
140,783019
142,772869
144,762827
146,752297
148,742202
150,732757
152,723041
154,713651
156,704424
158,695794
160,687543
162,678913
164,670391
166,661490
168,652859
170,644609
172,635870
174,627620
176,619804
178,612585
180,605420
182,597333
184,589408
186,581484
188,574102
190,567263
192,560315
194,553367
196,546094
198,539038
200,532253
202,525197
204,518358
206,511844
208,505928
210,500283
212,494313
214,488288
216,481991
218,475912
220,470050
222,463754
224,457838
226,452247
228,447199
230,442260
232,436940
234,431621
236,426248
238,421091
240,416098
242,410670
244,405459
246,400303
248,395417
250,390695
252,385756
254,381088
256,376474
258,372132
260,368061
262,363828
264,359485
266,354817
268,350204
270,345970
272,341736
274,337720
276,333812
278,330066
280,326430
282,322467
284,318505
286,314434
288,310472
290,306944
292,303470
294,300159
296,296740
298,293266
300,289738
302,285884
304,282410
306,279859
308,277851
310,275028
312,270523
314,266127
316,262924
318,260590
320,257876
322,254131
324,250603
326,247943
328,245989
330,243547
332,239910
334,236436
336,233885
338,231985
340,229652
342,226232
344,222921
346,220478
348,218687
350,216516
352,213477
