Distance_(mm),Gray_Value
0,0
2,901706
4,1290673
6,1500595
8,1617043
10,1685331
12,1717473
14,1726430
16,1723322
18,1714627
20,1701244
22,1683592
24,1663464
26,1643758
28,1625421
30,1606874
32,1587167
34,1566618
36,1547016
38,1528785
40,1509974
42,1490321
44,1470509
46,1451961
48,1434626
50,1416079
52,1396952
54,1378352
56,1359225
58,1341889
60,1325818
62,1309168
64,1292465
66,1274813
68,1258215
70,1242197
72,1225073
74,1208264
76,1192246
78,1178125
80,1164372
82,1148934
84,1133179
86,1117108
88,1102302
90,1088602
92,1074586
94,1060781
96,1046607
98,1033434
100,1020683
102,1006878
104,993126
106,979531
108,967254
110,955609
112,943174
114,930792
116,918040
118,905869
120,894329
122,882263
124,870566
126,859132
128,848646
130,838582
132,827675
134,816768
136,805597
138,795006
140,785153
142,775089
144,765078
146,754539
148,744528
150,735096
152,725401
154,716075
156,706748
158,698002
160,689729
162,681140
164,672657
166,663805
168,655216
170,646996
172,638302
174,630083
176,622179
178,614907
180,607636
182,599627
184,591671
186,583820
188,576443
190,569646
192,562638
194,555682
196,548464
198,541403
200,534606
202,527493
204,520590
206,514056
208,508102
210,502412
212,496405
214,490345
216,484022
218,477963
220,472114
222,465844
224,459890
226,454357
228,449246
230,444293
232,438971
234,433597
236,428169
238,423006
240,418053
242,412678
244,407514
246,402351
248,397398
250,392656
252,387755
254,383066
256,378482
258,374108
260,369998
262,365783
264,361462
266,356773
268,352136
270,347868
272,343653
274,339595
276,335644
278,331902
280,328267
282,324262
284,320310
286,316200
288,312249
290,308718
292,305241
294,301921
296,298391
298,294913
300,291383
302,287484
304,284059
306,281424
308,279475
310,276577
312,272045
314,267672
316,264458
318,262087
320,259399
322,255605
324,252075
326,249441
328,247491
330,245015
332,241379
334,237901
336,235319
338,233475
340,231104
342,227626
344,224307
346,221830
348,220039
350,217879
352,214822
