Distance_(mm),Gray_Value
0,0
2,632885
4,886989
6,1024934
8,1102086
10,1148067
12,1170393
14,1177332
16,1176145
18,1171040
20,1162915
22,1151951
24,1139331
26,1126856
28,1115208
30,1103488
32,1091121
34,1078322
36,1065991
38,1054378
40,1042442
42,1030004
44,1017492
46,1005665
48,994556
50,982620
52,970288
54,958317
56,946021
58,934769
60,924343
62,913557
64,902664
66,891124
68,880159
70,869625
72,858336
74,847191
76,836550
78,827130
80,817963
82,807717
84,797219
86,786434
88,776475
90,767235
92,757816
94,748469
96,738906
98,730026
100,721398
102,712014
104,702667
106,693499
108,685159
110,677250
112,668837
114,660425
116,651688
118,643312
120,635402
122,627205
124,619224
126,611387
128,604197
130,597258
132,589816
134,582302
136,574608
138,567311
140,560552
142,553649
144,546747
146,539484
148,532546
150,526038
152,519352
154,512844
156,506373
158,500261
160,494509
162,488577
164,482682
166,476498
168,470530
170,464778
172,458774
174,452986
176,447449
178,442272
180,437203
182,431595
184,426022
186,420486
188,415309
190,410491
192,405566
194,400713
196,395607
198,390610
200,385829
202,380831
204,375978
206,371340
208,367134
210,363143
212,358865
214,354551
216,350093
218,345815
220,341680
222,337295
224,333124
226,329169
228,325539
230,322015
232,318204
234,314430
236,310546
238,306843
240,303320
242,299582
244,295950
246,292283
248,288760
250,285381
252,281929
254,278586
256,275279
258,272187
260,269239
262,266219
264,263127
266,259784
268,256512
270,253456
272,250436
274,247560
276,244720
278,242023
280,239399
282,236559
284,233718
286,230842
288,228002
290,225486
292,223005
294,220596
296,218080
298,215528
300,213011
302,210242
304,207762
306,205892
308,204419
310,202370
312,199133
314,195934
316,193597
318,191907
320,189966
322,187306
324,184753
326,182847
328,181445
330,179648
332,177059
334,174543
336,172710
338,171343
340,169618
342,167137
344,164728
346,162967
348,161636
350,160055
352,157862
