Distance_(mm),Gray_Value
0,15
2,99
4,142
6,166
8,178
10,186
12,190
14,190
16,190
18,189
20,187
22,186
24,184
26,181
28,180
30,177
32,175
34,172
36,171
38,169
40,166
42,165
44,162
46,160
48,159
50,156
52,154
54,153
56,150
58,148
60,147
62,144
64,142
66,141
68,139
70,136
72,135
74,133
76,132
78,130
80,129
82,127
84,124
86,123
88,121
90,120
92,118
94,117
96,115
98,114
100,112
102,111
104,109
106,108
108,106
110,105
112,103
114,102
116,102
118,100
120,99
122,97
124,96
126,94
128,93
130,93
132,91
134,90
136,88
138,87
140,87
142,85
144,84
146,82
148,82
150,81
152,79
154,79
156,78
158,76
160,76
162,75
164,73
166,73
168,72
170,72
172,70
174,69
176,69
178,67
180,67
182,66
184,64
186,64
188,63
190,63
192,61
194,61
196,60
198,60
200,58
202,58
204,57
206,57
208,55
210,55
212,54
214,54
216,52
218,52
220,52
222,51
224,51
226,49
228,49
230,49
232,48
234,48
236,46
238,46
240,46
242,45
244,45
246,43
248,43
250,43
252,42
254,42
256,42
258,40
260,40
262,40
264,39
266,39
268,39
270,37
272,37
274,37
276,37
278,36
280,36
282,36
284,34
286,34
288,34
290,34
292,33
294,33
296,33
298,33
300,31
302,31
304,31
306,31
308,30
310,30
312,30
314,30
316,28
318,28
320,28
322,28
324,27
326,27
328,27
330,27
332,27
334,25
336,25
338,25
340,25
342,25
344,24
346,24
348,24
350,24
352,24
354,22
356,22
358,22
360,22
362,22
364,22
366,21
368,21
370,21
372,21
374,21
376,21
378,19
380,19
382,19
384,19
386,19
388,19
390,19
392,18
394,18
396,18
398,18
400,12
402,0
