Distance_(mm),Gray_Value
0,0
2,594229
4,913098
6,1126815
8,1266663
10,1361710
12,1424414
14,1464140
16,1488963
18,1504281
20,1511433
22,1511756
24,1507326
26,1500359
28,1491870
30,1481442
32,1469169
34,1455650
36,1441855
38,1427874
40,1413387
42,1398391
44,1383304
46,1368678
48,1354467
50,1339610
52,1324522
54,1309804
56,1294993
58,1280828
60,1267309
62,1253560
64,1239810
66,1225692
68,1211942
70,1198608
72,1184951
74,1171616
76,1158697
78,1146655
80,1134843
82,1122340
84,1109697
86,1097055
88,1084967
90,1073478
92,1061989
94,1050639
96,1039196
98,1028077
100,1017234
102,1005930
104,994718
106,983599
108,972987
110,962882
112,952593
114,942350
116,931969
118,921818
120,911990
122,902070
124,892381
126,882784
128,873648
130,864744
132,855608
134,846380
136,836968
138,827740
140,819020
142,810345
144,801810
146,793089
148,784600
150,776341
152,767943
154,759777
156,751794
158,744089
160,736615
162,728956
164,721343
166,713637
168,706117
170,698827
172,691444
174,684293
176,677233
178,670359
180,663576
182,656471
184,649411
186,642444
188,635754
190,629341
192,622881
194,616468
196,610008
198,603595
200,597366
202,591091
204,584955
206,578957
208,573235
210,567745
212,562116
214,556533
216,550812
218,545183
220,539692
222,534017
224,528434
226,523174
228,518145
230,513254
232,508179
234,503057
236,497890
238,492860
240,487970
242,482987
244,478096
246,473251
248,468499
250,463839
252,459133
254,454519
256,450043
258,445752
260,441554
262,437355
264,433064
266,428635
268,424251
270,420006
272,415808
274,411748
276,407780
278,403950
280,400167
282,396199
284,392277
286,388309
288,384433
290,380742
292,377097
294,373544
296,370084
298,366669
300,363209
302,359518
304,355965
306,352920
308,350290
310,347291
312,343231
314,339124
316,335618
318,332665
320,329712
322,326251
324,322837
326,319930
328,317439
330,314716
332,311256
334,307796
336,304843
338,302351
340,299721
342,296584
344,293400
346,290678
348,288371
350,285926
352,282926
