Distance_(mm),Gray_Value
0,0
2,634465
4,892589
6,1079159
8,1207206
10,1299500
12,1365327
14,1410414
16,1440667
18,1460731
20,1472454
22,1477233
24,1476827
26,1473130
28,1467268
30,1459153
32,1448963
34,1437331
36,1424977
38,1412172
40,1398601
42,1384534
44,1370376
46,1356535
48,1342963
50,1328761
52,1314378
54,1300401
56,1286289
58,1272718
60,1259778
62,1246657
64,1233537
66,1220056
68,1206846
70,1193951
72,1180785
74,1167755
76,1155176
78,1143363
80,1131821
82,1119647
84,1107338
86,1094985
88,1083172
90,1071855
92,1060538
94,1049356
96,1038085
98,1027174
100,1016533
102,1005487
104,994440
106,983484
108,973024
110,963015
112,952780
114,942635
116,932401
118,922391
120,912652
122,902823
124,893175
126,883661
128,874554
130,865717
132,856564
134,847411
136,838078
138,829016
140,820314
142,811703
144,803181
146,794524
148,786003
150,777842
152,769546
154,761385
156,753315
158,745560
160,738030
162,730365
164,722836
166,715171
168,707642
170,700383
172,693078
174,685864
176,678741
178,671842
180,665034
182,657956
184,650967
186,644024
188,637306
190,630903
192,624411
194,617963
196,611471
198,605068
200,598846
202,592534
204,586357
206,580361
208,574680
210,569134
212,563498
214,557817
216,552136
218,546500
220,541000
222,535319
224,529728
226,524408
228,519403
230,514489
232,509304
234,504119
236,498934
238,493884
240,488969
242,484010
244,479140
246,474316
248,469537
250,464848
252,460114
254,455515
256,450961
258,446633
260,442439
262,438201
264,433918
266,429454
268,425036
270,420798
272,416605
274,412502
276,408534
278,404656
280,400824
282,396856
284,392889
286,388921
288,384998
290,381301
292,377649
294,374087
296,370526
298,367054
300,363537
302,359795
304,356233
306,353167
308,350507
310,347486
312,343473
314,339370
316,335899
318,332923
320,329947
322,326475
324,323004
326,320073
328,317593
330,314843
332,311416
334,307990
336,305059
338,302579
340,299964
342,296763
344,293517
346,290767
348,288422
350,285942
352,282966
