Distance_(mm),Gray_Value
0,0
2,622020
4,891583
6,1084322
8,1215729
10,1309584
12,1375673
14,1420336
16,1449915
18,1469257
20,1480218
22,1484114
24,1482891
26,1478452
28,1472020
30,1463368
32,1452723
34,1440629
36,1427946
38,1414900
40,1401130
42,1386861
44,1372502
46,1358505
48,1344825
50,1330512
52,1315971
54,1301838
56,1287615
58,1273935
60,1260845
62,1247618
64,1234391
66,1220847
68,1207530
70,1194575
72,1181303
74,1168257
76,1155619
78,1143797
80,1132201
82,1119971
84,1107605
86,1095284
88,1083371
90,1072092
92,1060722
94,1049534
96,1038255
98,1027293
100,1016648
102,1005550
104,994498
106,983536
108,973072
110,963061
112,952824
114,942678
116,932441
118,922385
120,912691
122,902862
124,893213
126,883656
128,874551
130,865718
132,856568
134,847418
136,838087
138,828982
140,820330
142,811679
144,803163
146,794511
148,786040
150,777842
152,769507
154,761399
156,753336
158,745590
160,738071
162,730461
164,722896
166,715241
168,707722
170,700474
172,693136
174,685979
176,678868
178,671982
180,665143
182,658076
184,651100
186,644170
188,637466
190,631034
192,624556
194,618169
196,611647
198,605260
200,599054
202,592758
204,586597
206,580573
208,574865
210,569384
212,563722
214,558060
216,552353
218,546736
220,541255
222,535548
224,530021
226,524722
228,519694
230,514801
232,509638
234,504474
236,499310
238,494237
240,489344
242,484407
244,479560
246,474668
248,469912
250,465246
252,460536
254,455915
256,451431
258,447082
260,442915
262,438657
264,434399
266,429960
268,425521
270,421263
272,417096
274,413019
276,409033
278,405137
280,401332
282,397391
284,393405
286,389464
288,385569
290,381854
292,378185
294,374652
296,371119
298,367631
300,364143
302,360384
304,356851
306,353770
308,351143
310,348108
312,344122
314,340000
316,336467
318,333568
320,330533
322,327045
324,323648
326,320703
328,318212
330,315449
332,312052
334,308609
336,305665
338,303173
340,300546
342,297330
344,294114
346,291351
348,289041
350,286549
352,283560
