Distance_(mm),Gray_Value
0,0
2,665949
4,899779
6,1069716
8,1186565
10,1271622
12,1333397
14,1376521
16,1405888
18,1425597
20,1437723
22,1443632
24,1444602
26,1442309
28,1437679
30,1430889
32,1422158
34,1411928
36,1400817
38,1389132
40,1376653
42,1363646
44,1350550
46,1337674
48,1324931
50,1311615
52,1298166
54,1285070
56,1271930
58,1259276
60,1247150
62,1234892
64,1222589
66,1209935
68,1197456
70,1185286
72,1172808
74,1160461
76,1148468
78,1137180
80,1126200
82,1114648
84,1102963
86,1091190
88,1079858
90,1069055
92,1058208
94,1047493
96,1036690
98,1026152
100,1015922
102,1005295
104,994624
106,984086
108,973989
110,964288
112,954411
114,944578
116,934613
118,924780
120,915344
122,905775
124,896383
126,887124
128,878217
130,869574
132,860667
134,851716
136,842633
138,833726
140,825304
142,816882
144,808504
146,799994
148,791661
150,783635
152,775478
154,767497
156,759560
158,751888
160,744480
162,736940
164,729488
166,721948
168,714540
170,707397
172,700166
174,693067
176,685968
178,679045
180,672299
182,665332
184,658409
186,651486
188,644828
190,638434
192,631953
194,625603
196,619121
198,612728
200,606511
202,600205
204,594076
206,588079
208,582435
210,576924
212,571280
214,565636
216,559903
218,554303
220,548836
222,543192
224,537636
226,532345
228,527274
230,522335
232,517176
234,512017
236,506770
238,501700
240,496805
242,491867
244,487016
246,482122
248,477316
250,472642
252,467924
254,463294
256,458752
258,454343
260,450154
262,445877
264,441556
266,437102
268,432649
270,428416
272,424183
274,420082
276,416069
278,412145
280,408309
282,404296
284,400328
286,396315
288,392391
290,388643
292,384983
294,381412
296,377796
298,374268
300,370697
302,366949
304,363333
306,360202
308,357557
310,354470
312,350458
314,346313
316,342785
318,339787
320,336789
322,333261
324,329822
326,326823
328,324310
330,321532
332,318137
334,314654
336,311699
338,309230
340,306540
342,303321
344,300014
346,297192
348,294811
350,292342
352,289300
