Distance_(mm),Gray_Value
0,15
2,88
4,118
6,141
8,156
10,168
12,175
14,181
16,186
18,189
20,190
22,190
24,190
26,190
28,190
30,189
32,187
34,186
36,184
38,183
40,181
42,180
44,178
46,177
48,175
50,174
52,171
54,169
56,168
58,166
60,165
62,163
64,162
66,160
68,157
70,156
72,154
74,153
76,151
78,150
80,148
82,147
84,145
86,144
88,142
90,141
92,139
94,138
96,136
98,135
100,133
102,132
104,132
106,130
108,129
110,127
112,126
114,124
116,123
118,121
120,121
122,120
124,118
126,117
128,115
130,114
132,114
134,112
136,111
138,109
140,109
142,108
144,106
146,105
148,105
150,103
152,102
154,100
156,100
158,99
160,97
162,97
164,96
166,94
168,94
170,93
172,93
174,91
176,90
178,90
180,88
182,87
184,87
186,85
188,85
190,84
192,84
194,82
196,81
198,81
200,79
202,79
204,78
206,78
208,76
210,76
212,75
214,75
216,73
218,73
220,72
222,72
224,70
226,70
228,69
230,69
232,67
234,67
236,66
238,66
240,66
242,64
244,64
246,63
248,63
250,61
252,61
254,61
256,60
258,60
260,58
262,58
264,58
266,57
268,57
270,57
272,55
274,55
276,54
278,54
280,54
282,52
284,52
286,52
288,51
290,51
292,51
294,49
296,49
298,49
300,48
302,48
304,48
306,48
308,46
310,46
312,46
314,45
316,45
318,45
320,43
322,43
324,43
326,43
328,42
330,42
332,42
334,42
336,40
338,40
340,40
342,40
344,39
346,39
348,39
350,39
352,37
354,37
356,37
358,37
360,36
362,36
364,36
366,36
368,34
370,34
372,34
374,34
376,34
378,33
380,33
382,33
384,33
386,33
388,31
390,31
392,31
394,31
396,31
398,30
400,22
402,0
