barID edep
0 732.28100
1 1076.04000
2 1126.84000
3 1179.92000
4 1046.52000
5 1100.53000
6 1079.98000
7 1028.49000
8 802.52500
9 1208.82000
10 1294.77000
11 1299.31000
12 1302.44000
13 1226.36000
14 1239.86000
15 1119.31000
16 845.62000
17 1169.65000
18 1246.27000
19 1305.70000
20 1266.09000
21 1227.83000
22 1205.68000
23 1150.97000
24 769.27600
25 1208.53000
26 1238.69000
27 1201.07000
28 1184.38000
29 1209.07000
30 1206.31000
31 1157.98000
32 770.40300
33 1156.73000
34 1316.19000
35 1294.53000
36 1235.97000
37 1164.64000
38 1108.74000
39 1100.98000
40 796.06600
41 1167.14000
42 1266.69000
43 1339.71000
44 1272.45000
45 1140.61000
46 1118.49000
47 1133.68000
48 808.80000
49 1178.71000
50 1295.58000
51 1261.22000
52 1235.19000
53 1205.93000
54 1169.53000
55 1127.66000
56 723.17300
57 1109.57000
58 1162.03000
59 1158.76000
60 1120.77000
61 1186.69000
62 1141.82000
63 1035.92000
