barID edep
0 3165.74000
1 4704.17000
2 4843.03000
3 4772.97000
4 4672.89000
5 4540.93000
6 4406.76000
7 4269.39000
8 3236.38000
9 4852.04000
10 5207.13000
11 5047.54000
12 5079.47000
13 4982.95000
14 4755.33000
15 4557.75000
16 3195.56000
17 4811.41000
18 5266.82000
19 5145.71000
20 4977.03000
21 4843.53000
22 4681.95000
23 4377.42000
24 3288.12000
25 4917.76000
26 5006.36000
27 5105.76000
28 5072.90000
29 4894.57000
30 4732.99000
31 4535.75000
32 3234.89000
33 4895.23000
34 5117.56000
35 5042.20000
36 4963.19000
37 4916.97000
38 4839.36000
39 4574.46000
40 3343.53000
41 4938.12000
42 5231.34000
43 5063.74000
44 4889.29000
45 4991.62000
46 4646.42000
47 4449.81000
48 3247.18000
49 4940.51000
50 5176.73000
51 5175.88000
52 5020.02000
53 4917.34000
54 4607.00000
55 4413.92000
56 3190.92000
57 4564.15000
58 4844.89000
59 4847.43000
60 4512.14000
61 4490.11000
62 4520.46000
63 4288.28000
