barID edep
0 57.47760
1 61.96020
2 59.34220
3 86.42820
4 83.97660
5 88.67780
6 83.71910
7 87.44230
8 387.55600
9 698.60300
10 752.33600
11 754.91300
12 785.23500
13 769.03600
14 766.38300
15 759.16200
16 741.45900
17 1138.68000
18 1209.38000
19 1238.22000
20 1220.64000
21 1192.02000
22 1102.55000
23 1126.81000
24 792.29300
25 1207.45000
26 1256.52000
27 1292.81000
28 1211.33000
29 1150.55000
30 1159.24000
31 1117.96000
32 768.64700
33 1208.48000
34 1285.70000
35 1285.29000
36 1183.19000
37 1191.89000
38 1151.90000
39 1114.90000
40 760.05200
41 1176.14000
42 1243.98000
43 1243.16000
44 1249.53000
45 1196.07000
46 1175.56000
47 1120.51000
48 402.92900
49 679.88200
50 741.73900
51 741.25800
52 755.53500
53 751.21500
54 788.36500
55 769.76100
56 66.77300
57 76.83130
58 67.86720
59 67.76610
60 74.60380
61 78.70040
62 77.61610
63 82.93250
