barID edep
0 1258.71000
1 1765.42000
2 1928.20000
3 1867.73000
4 1772.51000
5 1676.84000
6 1626.78000
7 1619.30000
8 1242.22000
9 1811.98000
10 1880.22000
11 1878.04000
12 1867.92000
13 1860.35000
14 1799.88000
15 1686.35000
16 1184.54000
17 1729.96000
18 1868.21000
19 1882.72000
20 1898.40000
21 1881.85000
22 1770.26000
23 1704.15000
24 1179.13000
25 1805.43000
26 1934.32000
27 1964.14000
28 1950.78000
29 1871.05000
30 1795.29000
31 1707.72000
32 1203.65000
33 1782.82000
34 1930.51000
35 1915.78000
36 1864.13000
37 1803.19000
38 1735.17000
39 1613.42000
40 1209.54000
41 1787.32000
42 1972.00000
43 1941.77000
44 1871.04000
45 1838.28000
46 1771.20000
47 1740.75000
48 1221.14000
49 1803.68000
50 1900.81000
51 1870.75000
52 1915.14000
53 1802.58000
54 1773.49000
55 1609.23000
56 1261.93000
57 1753.44000
58 1792.58000
59 1811.48000
60 1819.16000
61 1717.93000
62 1738.97000
63 1615.45000
