Channel edep
Ch.1  35526.93428
Ch.2  37366.32900
Ch.3  32534.59305
Ch.4  39601.58405
Ch.5  45317.46010
Ch.6  42323.33341
Ch.7  37940.36239
Ch.8  31438.59734
Ch.9  45079.18204
Ch.10 51647.24125
Ch.11 44839.35670
Ch.12 58341.93772
Ch.13 71221.44898
Ch.14 45736.64852
Ch.15 41500.48869
Ch.16 42676.46582
Ch.17 95637.98541
Ch.18 76195.47331
Ch.19 103769.19377
Ch.20 69732.15172
Ch.21 109797.97334
Ch.22 121237.75917
Ch.23 117689.17787
Ch.24 59572.18796
Ch.25 810072.13928
Ch.26 508201.23682
Ch.27 893795.86570
Ch.28 495340.88774
Ch.29 772278.35004
Ch.30 696653.81564
Ch.31 506909.98878
Ch.32 261577.15721
Ch.33 620167.51693
Ch.34 652132.18319
Ch.35 625502.70732
Ch.36 852002.05149
Ch.37 737668.58346
Ch.38 474249.65115
Ch.39 677666.31687
Ch.40 328131.11792
Ch.41 92098.56865
Ch.42 108157.46117
Ch.43 94735.81381
Ch.44 140923.42913
Ch.45 151077.38239
Ch.46 135883.88429
Ch.47 108769.46201
Ch.48 140486.74475
Ch.49 43526.03054
Ch.50 44590.42640
Ch.51 48716.84986
Ch.52 46314.60966
Ch.53 55314.30695
Ch.54 57201.07152
Ch.55 71437.05371
Ch.56 54818.64816
Ch.57 36019.08209
Ch.58 39769.69978
Ch.59 38060.03693
Ch.60 41378.25509
Ch.61 44765.20728
Ch.62 43858.69147
Ch.63 41857.01307
Ch.64 39475.77993
