This file was gnenerated on 2021-01-24 13:50:51.052173 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  144536.64404
Ch.2  146864.91327
Ch.3  140270.25309
Ch.4  151168.49799
Ch.5  159652.36266
Ch.6  155619.31039
Ch.7  148842.90669
Ch.8  139314.82004
Ch.9  162312.22158
Ch.10 173414.28814
Ch.11 161199.14648
Ch.12 184747.49150
Ch.13 206990.30633
Ch.14 163238.19728
Ch.15 156733.75408
Ch.16 158358.97219
Ch.17 405423.42594
Ch.18 326348.26367
Ch.19 410972.61437
Ch.20 278774.00585
Ch.21 417805.25514
Ch.22 444471.92418
Ch.23 443949.30736
Ch.24 236737.57007
Ch.25 1075011.73594
Ch.26 710647.77612
Ch.27 1221957.39917
Ch.28 692764.84260
Ch.29 1022320.92781
Ch.30 934798.26162
Ch.31 719811.95945
Ch.32 433397.29167
Ch.33 804184.70190
Ch.34 864169.35348
Ch.35 815242.43346
Ch.36 1065709.13295
Ch.37 939417.13023
Ch.38 648446.73388
Ch.39 881997.24041
Ch.40 485026.14433
Ch.41 346990.55690
Ch.42 441700.36491
Ch.43 373248.68974
Ch.44 516849.29549
Ch.45 536208.73166
Ch.46 475785.13406
Ch.47 368427.24906
Ch.48 448946.24311
Ch.49 160345.65413
Ch.50 162116.96928
Ch.51 168859.21424
Ch.52 166176.86047
Ch.53 184648.94305
Ch.54 184052.05773
Ch.55 208292.98021
Ch.56 179777.15682
Ch.57 145299.50276
Ch.58 150758.47408
Ch.59 148495.07073
Ch.60 154117.09944
Ch.61 158941.63475
Ch.62 158000.30549
Ch.63 154848.71533
Ch.64 151091.31345
