This file was gnenerated on 2021-01-24 13:50:51.055235 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  16585.61462
Ch.2  17367.87360
Ch.3  13348.62774
Ch.4  16263.78459
Ch.5  18266.29605
Ch.6  17280.75095
Ch.7  14757.40798
Ch.8  11842.72723
Ch.9  21629.08716
Ch.10 24040.72988
Ch.11 18233.08951
Ch.12 22911.94425
Ch.13 27340.26188
Ch.14 16969.75172
Ch.15 15327.57329
Ch.16 16152.26283
Ch.17 35311.98344
Ch.18 26309.42968
Ch.19 36417.02462
Ch.20 24321.43857
Ch.21 36638.69938
Ch.22 40703.70847
Ch.23 37956.96490
Ch.24 21880.39786
Ch.25 165835.80223
Ch.26 154458.56129
Ch.27 303193.15431
Ch.28 159417.29152
Ch.29 276927.88007
Ch.30 234491.06090
Ch.31 181752.88231
Ch.32 100239.17877
Ch.33 333201.48846
Ch.34 447298.93994
Ch.35 453710.42886
Ch.36 815702.97549
Ch.37 639120.67794
Ch.38 372515.16325
Ch.39 727902.69456
Ch.40 305064.08907
Ch.41 39292.25021
Ch.42 43799.47818
Ch.43 39264.51865
Ch.44 56787.47616
Ch.45 61228.88598
Ch.46 53568.87780
Ch.47 46685.59417
Ch.48 60321.23948
Ch.49 21490.78591
Ch.50 20322.12849
Ch.51 20906.15966
Ch.52 18812.35979
Ch.53 22174.49623
Ch.54 23204.97140
Ch.55 29851.28632
Ch.56 22803.10040
Ch.57 16456.95403
Ch.58 17856.92678
Ch.59 16498.25393
Ch.60 17283.30990
Ch.61 18554.44345
Ch.62 17538.48872
Ch.63 16390.12433
Ch.64 15773.18415
