This file was gnenerated on 2021-01-24 13:50:51.044441 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  14770.14329
Ch.2  15141.06913
Ch.3  13599.22451
Ch.4  14726.87954
Ch.5  15789.37106
Ch.6  15235.98760
Ch.7  14252.64437
Ch.8  13003.52940
Ch.9  16823.47633
Ch.10 18188.45722
Ch.11 15689.75133
Ch.12 18036.46866
Ch.13 20179.95936
Ch.14 15321.86052
Ch.15 14605.71715
Ch.16 14878.51097
Ch.17 36672.50124
Ch.18 35090.84449
Ch.19 46586.39117
Ch.20 29907.94005
Ch.21 46907.20962
Ch.22 51055.05661
Ch.23 52757.75674
Ch.24 25089.47486
Ch.25 88144.42604
Ch.26 74712.66213
Ch.27 133129.52305
Ch.28 79138.48007
Ch.29 121216.63251
Ch.30 111740.67666
Ch.31 85472.54616
Ch.32 48597.88874
Ch.33 67192.44282
Ch.34 90892.95497
Ch.35 91199.37198
Ch.36 123101.19533
Ch.37 110613.08119
Ch.38 75262.05832
Ch.39 103061.02421
Ch.40 55306.92712
Ch.41 29721.07866
Ch.42 44949.98521
Ch.43 39075.57457
Ch.44 54641.06967
Ch.45 57629.95943
Ch.46 51595.28839
Ch.47 39057.06699
Ch.48 49445.43011
Ch.49 16346.32516
Ch.50 16161.42757
Ch.51 16320.08125
Ch.52 15626.78973
Ch.53 17499.86701
Ch.54 17267.83752
Ch.55 19664.00768
Ch.56 16926.90472
Ch.57 14807.75361
Ch.58 15250.50804
Ch.59 14868.03723
Ch.60 15123.57318
Ch.61 15618.04176
Ch.62 15296.80680
Ch.63 14759.49100
Ch.64 14566.32153
