Channel edep
Ch.1  427002.47820
Ch.2  434005.79338
Ch.3  418589.31144
Ch.4  445798.05693
Ch.5  474148.62102
Ch.6  464071.67362
Ch.7  441666.51572
Ch.8  416517.53017
Ch.9  684550.21336
Ch.10 796335.40423
Ch.11 663170.59118
Ch.12 839905.76974
Ch.13 974857.43015
Ch.14 628369.14318
Ch.15 588617.95089
Ch.16 579598.79382
Ch.17 1367110.39476
Ch.18 1067786.75836
Ch.19 1386608.25125
Ch.20 930563.42285
Ch.21 1362924.46159
Ch.22 1395746.13039
Ch.23 1373935.41779
Ch.24 758854.22086
Ch.25 1920162.53376
Ch.26 1301795.84886
Ch.27 2122631.38366
Ch.28 1245562.23104
Ch.29 1832748.47280
Ch.30 1732481.50241
Ch.31 1338584.93079
Ch.32 934386.28565
Ch.33 1414820.87057
Ch.34 1559047.40275
Ch.35 1446934.84748
Ch.36 1894966.53515
Ch.37 1663171.69259
Ch.38 1202374.87176
Ch.39 1719935.72319
Ch.40 1005690.75119
Ch.41 1042081.71119
Ch.42 1331509.13200
Ch.43 1134018.65085
Ch.44 1634065.70884
Ch.45 1647913.68565
Ch.46 1397269.88427
Ch.47 1067540.62509
Ch.48 1255792.95253
Ch.49 719061.25266
Ch.50 725231.24935
Ch.51 785352.29807
Ch.52 716604.08477
Ch.53 795623.30761
Ch.54 779841.85060
Ch.55 954061.36280
Ch.56 738276.55557
Ch.57 429855.68499
Ch.58 444889.69636
Ch.59 443861.72055
Ch.60 459380.97636
Ch.61 470686.80513
Ch.62 471767.98296
Ch.63 458854.67007
Ch.64 449815.16067
