This file was gnenerated on 2021-01-24 13:50:51.051208 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  28184.70963
Ch.2  29824.50768
Ch.3  25806.63052
Ch.4  30823.50205
Ch.5  35414.46051
Ch.6  33012.63691
Ch.7  29662.52146
Ch.8  24657.73046
Ch.9  35826.26971
Ch.10 40682.04767
Ch.11 34751.63813
Ch.12 45218.85203
Ch.13 54983.13381
Ch.14 35213.07867
Ch.15 32277.86694
Ch.16 33008.29268
Ch.17 119887.65580
Ch.18 91819.05018
Ch.19 122312.92634
Ch.20 74784.96729
Ch.21 123570.67019
Ch.22 135663.93533
Ch.23 134479.21026
Ch.24 58338.01006
Ch.25 483587.90055
Ch.26 297905.33433
Ch.27 530603.30000
Ch.28 295395.02398
Ch.29 464062.49140
Ch.30 416855.52955
Ch.31 305676.38821
Ch.32 160711.15874
Ch.33 349790.61561
Ch.34 372018.01723
Ch.35 354235.17945
Ch.36 483537.01962
Ch.37 427685.04023
Ch.38 273727.25450
Ch.39 382232.37315
Ch.40 187375.98300
Ch.41 148789.87750
Ch.42 213114.11747
Ch.43 169479.89776
Ch.44 252177.31475
Ch.45 267632.29967
Ch.46 231618.09751
Ch.47 160021.25934
Ch.48 206513.38733
Ch.49 36415.18067
Ch.50 37424.35125
Ch.51 40558.26687
Ch.52 38895.25992
Ch.53 48920.73109
Ch.54 48234.40226
Ch.55 60126.40458
Ch.56 45594.59817
Ch.57 29030.52526
Ch.58 31637.83689
Ch.59 30751.97103
Ch.60 33202.59283
Ch.61 35930.41221
Ch.62 35191.47654
Ch.63 33206.52049
Ch.64 31530.42134
