Channel edep
Ch.1  50813.50932
Ch.2  52572.74400
Ch.3  48596.64277
Ch.4  50991.56334
Ch.5  55180.41266
Ch.6  53659.27752
Ch.7  50176.21679
Ch.8  46900.72679
Ch.9  68704.06013
Ch.10 88733.16233
Ch.11 74097.45145
Ch.12 92705.63331
Ch.13 107838.72885
Ch.14 69473.28641
Ch.15 64301.98640
Ch.16 64865.30807
Ch.17 114619.53628
Ch.18 108898.60194
Ch.19 139631.29165
Ch.20 96326.57879
Ch.21 137685.79083
Ch.22 145903.46723
Ch.23 149980.43780
Ch.24 81493.11627
Ch.25 144871.62326
Ch.26 131020.31381
Ch.27 219057.38441
Ch.28 134671.96630
Ch.29 193481.29574
Ch.30 180288.88071
Ch.31 140339.87740
Ch.32 98232.74363
Ch.33 120558.69377
Ch.34 148373.66781
Ch.35 147377.23244
Ch.36 199276.91518
Ch.37 173347.87254
Ch.38 131266.03049
Ch.39 170817.38827
Ch.40 106865.38325
Ch.41 89522.62198
Ch.42 132382.08102
Ch.43 120414.44160
Ch.44 155359.18969
Ch.45 163415.53434
Ch.46 145666.67701
Ch.47 112221.81886
Ch.48 129633.96873
Ch.49 69175.61741
Ch.50 75205.05156
Ch.51 83636.24985
Ch.52 75638.52242
Ch.53 83983.31218
Ch.54 81925.93244
Ch.55 102284.95809
Ch.56 78973.16529
Ch.57 50639.38300
Ch.58 52034.83309
Ch.59 52041.97430
Ch.60 52829.94619
Ch.61 53613.57384
Ch.62 53072.68743
Ch.63 50656.75995
Ch.64 50461.74572
