Channel edep
Ch.1  158920.74705
Ch.2  161228.54485
Ch.3  154299.02187
Ch.4  165474.94056
Ch.5  173622.75219
Ch.6  169617.01494
Ch.7  162840.61132
Ch.8  153209.57244
Ch.9  175690.18909
Ch.10 186061.94899
Ch.11 174538.55152
Ch.12 197113.07495
Ch.13 218641.65058
Ch.14 176619.73530
Ch.15 170075.36117
Ch.16 171969.80234
Ch.17 368320.54806
Ch.18 304621.16309
Ch.19 372511.89692
Ch.20 268633.62128
Ch.21 380468.62196
Ch.22 406720.20876
Ch.23 399299.54981
Ch.24 232919.52788
Ch.25 1141335.63215
Ch.26 756260.34666
Ch.27 1246738.79176
Ch.28 738105.98835
Ch.29 1088742.06216
Ch.30 997834.70546
Ch.31 772046.14790
Ch.32 469391.61805
Ch.33 858819.16728
Ch.34 922493.20080
Ch.35 872202.78750
Ch.36 1138266.46281
Ch.37 1005794.52513
Ch.38 699145.20775
Ch.39 951147.26561
Ch.40 527462.78516
Ch.41 433630.33331
Ch.42 567917.80244
Ch.43 473948.95337
Ch.44 666080.61866
Ch.45 692496.81010
Ch.46 612929.79756
Ch.47 464127.78001
Ch.48 570109.13918
Ch.49 178138.96613
Ch.50 179811.79223
Ch.51 187056.71820
Ch.52 184751.36015
Ch.53 207142.71201
Ch.54 205166.20630
Ch.55 231958.32239
Ch.56 199789.71580
Ch.57 160657.07035
Ch.58 166575.87549
Ch.59 164509.86674
Ch.60 170445.98939
Ch.61 175969.46945
Ch.62 175037.30486
Ch.63 171327.33246
Ch.64 167544.63879
