This file was gnenerated on 2021-01-24 13:50:51.053724 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  118389.06856
Ch.2  121008.75851
Ch.3  114157.61014
Ch.4  124771.45666
Ch.5  133734.79337
Ch.6  129493.45617
Ch.7  122611.00556
Ch.8  113139.33445
Ch.9  138712.98352
Ch.10 149761.37204
Ch.11 136311.15978
Ch.12 161717.05007
Ch.13 184777.77014
Ch.14 138386.98775
Ch.15 131766.38105
Ch.16 132990.62073
Ch.17 476258.34539
Ch.18 364451.19530
Ch.19 475317.37334
Ch.20 294138.10698
Ch.21 474447.39658
Ch.22 502243.50586
Ch.23 513376.57736
Ch.24 236963.10084
Ch.25 831462.82407
Ch.26 544733.52697
Ch.27 907495.29943
Ch.28 539253.54857
Ch.29 805236.94575
Ch.30 735461.23246
Ch.31 565341.95918
Ch.32 338233.17221
Ch.33 622570.88130
Ch.34 661410.02339
Ch.35 630916.32565
Ch.36 831523.40483
Ch.37 741876.35077
Ch.38 508607.02934
Ch.39 689593.00697
Ch.40 378995.97492
Ch.41 402350.37694
Ch.42 569960.94678
Ch.43 464009.64025
Ch.44 648170.71491
Ch.45 673312.49932
Ch.46 590921.26126
Ch.47 404360.38666
Ch.48 486928.07180
Ch.49 170169.79088
Ch.50 171846.42567
Ch.51 188265.77025
Ch.52 177209.22881
Ch.53 205192.49715
Ch.54 203365.06405
Ch.55 252366.49070
Ch.56 196389.77795
Ch.57 120503.45905
Ch.58 126010.57392
Ch.59 124792.76116
Ch.60 130701.62811
Ch.61 135830.73561
Ch.62 135319.42566
Ch.63 130985.01487
Ch.64 127419.77074
