This file was gnenerated on 2021-01-24 13:50:51.051479 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  4816.62038
Ch.2  5456.23386
Ch.3  4122.55529
Ch.4  5986.17041
Ch.5  8016.41357
Ch.6  7108.23146
Ch.7  5704.03350
Ch.8  3756.33076
Ch.9  8346.03946
Ch.10 10373.42614
Ch.11 7971.30499
Ch.12 12723.83310
Ch.13 16951.06644
Ch.14 8319.43849
Ch.15 7185.77299
Ch.16 7338.35663
Ch.17 55272.59043
Ch.18 39999.76552
Ch.19 56542.53390
Ch.20 30461.20517
Ch.21 57045.15529
Ch.22 62640.64259
Ch.23 63690.81559
Ch.24 21850.28670
Ch.25 188844.15437
Ch.26 114160.41342
Ch.27 208457.04356
Ch.28 114296.57230
Ch.29 180651.05548
Ch.30 162165.99984
Ch.31 116903.94358
Ch.32 58219.58513
Ch.33 134015.56787
Ch.34 142552.93204
Ch.35 135446.42634
Ch.36 186926.14700
Ch.37 164035.98270
Ch.38 102684.38605
Ch.39 145096.74644
Ch.40 68268.74135
Ch.41 42249.00548
Ch.42 60959.24706
Ch.43 47831.16253
Ch.44 73599.70666
Ch.45 78422.75410
Ch.46 67042.71636
Ch.47 45957.07360
Ch.48 61291.01529
Ch.49 7906.14154
Ch.50 8185.30295
Ch.51 9402.75853
Ch.52 8885.31908
Ch.53 12295.89669
Ch.54 12236.44620
Ch.55 16880.54709
Ch.56 11480.84773
Ch.57 5059.06412
Ch.58 5960.34307
Ch.59 5837.33590
Ch.60 6869.17979
Ch.61 7764.15068
Ch.62 7550.45027
Ch.63 6764.02562
Ch.64 6242.53949
