This file was gnenerated on 2021-01-24 13:50:51.054274 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  77823.48937
Ch.2  79670.26324
Ch.3  75106.02477
Ch.4  77346.87374
Ch.5  81185.74486
Ch.6  79821.47806
Ch.7  76622.22044
Ch.8  73385.94772
Ch.9  86510.81873
Ch.10 94161.48375
Ch.11 84578.05289
Ch.12 93707.00588
Ch.13 101445.56729
Ch.14 81763.82486
Ch.15 80210.91150
Ch.16 80336.35865
Ch.17 109627.18062
Ch.18 100978.83032
Ch.19 121209.13585
Ch.20 97902.40138
Ch.21 120892.36406
Ch.22 125343.95010
Ch.23 123217.30077
Ch.24 90927.35326
Ch.25 206045.28257
Ch.26 190734.90693
Ch.27 333544.14838
Ch.28 191514.19033
Ch.29 305362.83123
Ch.30 289714.55779
Ch.31 218428.24241
Ch.32 155452.08251
Ch.33 353381.45003
Ch.34 539389.95301
Ch.35 534879.03549
Ch.36 930789.06875
Ch.37 587378.16244
Ch.38 379453.13851
Ch.39 906705.25266
Ch.40 328681.64601
Ch.41 105630.42949
Ch.42 121323.15699
Ch.43 113656.84074
Ch.44 139675.44594
Ch.45 143629.58797
Ch.46 133097.50809
Ch.47 118444.36072
Ch.48 135996.35927
Ch.49 89545.17403
Ch.50 92009.06653
Ch.51 95361.97897
Ch.52 90448.17879
Ch.53 95712.31438
Ch.54 96477.61291
Ch.55 109981.02706
Ch.56 94798.71684
Ch.57 77917.51510
Ch.58 79385.80536
Ch.59 79408.18114
Ch.60 79808.98104
Ch.61 81097.67014
Ch.62 79952.99516
Ch.63 77534.56829
Ch.64 77691.97214
