This file was gnenerated on 2021-01-24 13:50:51.044859 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  33702.17725
Ch.2  36071.44885
Ch.3  31600.58157
Ch.4  34707.00361
Ch.5  38742.13867
Ch.6  36937.49792
Ch.7  33048.16236
Ch.8  29317.65893
Ch.9  47941.37299
Ch.10 68337.88991
Ch.11 56691.18781
Ch.12 76845.61805
Ch.13 93081.49332
Ch.14 53479.96869
Ch.15 47815.74739
Ch.16 48386.32925
Ch.17 83374.10311
Ch.18 85472.72325
Ch.19 125039.61298
Ch.20 79928.95021
Ch.21 129845.75965
Ch.22 138184.83636
Ch.23 142272.04281
Ch.24 66166.13197
Ch.25 112707.23670
Ch.26 106717.55529
Ch.27 199408.72443
Ch.28 120534.88467
Ch.29 190391.82866
Ch.30 181221.33763
Ch.31 135444.81759
Ch.32 84450.93655
Ch.33 88915.43624
Ch.34 128085.69198
Ch.35 135043.06543
Ch.36 190666.88411
Ch.37 165899.17912
Ch.38 118900.56140
Ch.39 164919.88227
Ch.40 93511.33405
Ch.41 63753.23952
Ch.42 110284.04904
Ch.43 101675.21344
Ch.44 145972.91019
Ch.45 154621.14133
Ch.46 138513.62920
Ch.47 98643.29789
Ch.48 120581.83804
Ch.49 48261.83435
Ch.50 56605.96949
Ch.51 67218.38778
Ch.52 60104.74092
Ch.53 69456.43989
Ch.54 66898.10498
Ch.55 88337.29662
Ch.56 63838.27930
Ch.57 33427.77664
Ch.58 35724.86265
Ch.59 35706.05752
Ch.60 36540.03064
Ch.61 37197.31854
Ch.62 36584.24651
Ch.63 34125.94794
Ch.64 33482.04978
