This file was gnenerated on 2021-01-24 13:50:51.052873 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  17204.58460
Ch.2  19026.36417
Ch.3  14718.55433
Ch.4  20430.14555
Ch.5  25124.47286
Ch.6  22819.53155
Ch.7  19136.99327
Ch.8  13816.26370
Ch.9  24639.22832
Ch.10 29793.56796
Ch.11 24408.38904
Ch.12 35005.87033
Ch.13 45264.91825
Ch.14 25001.52521
Ch.15 21779.53480
Ch.16 22740.91884
Ch.17 47039.92302
Ch.18 34870.42557
Ch.19 53898.33150
Ch.20 35045.74203
Ch.21 59286.72396
Ch.22 66128.58866
Ch.23 62978.06975
Ch.24 30585.11047
Ch.25 650474.77468
Ch.26 419446.06453
Ch.27 746333.36411
Ch.28 407545.61191
Ch.29 644004.60976
Ch.30 574165.81622
Ch.31 419471.47526
Ch.32 208515.13076
Ch.33 564250.91469
Ch.34 582327.01725
Ch.35 577404.11210
Ch.36 779131.17006
Ch.37 666275.87040
Ch.38 431686.55734
Ch.39 661836.18611
Ch.40 318642.73005
Ch.41 43230.92596
Ch.42 45614.65852
Ch.43 42213.60251
Ch.44 65269.44279
Ch.45 73750.86750
Ch.46 66019.50683
Ch.47 54796.69446
Ch.48 70503.28778
Ch.49 23057.27400
Ch.50 24002.53083
Ch.51 27432.21116
Ch.52 25347.99243
Ch.53 31819.76444
Ch.54 34321.14827
Ch.55 45748.02043
Ch.56 32503.17728
Ch.57 17684.11615
Ch.58 20653.48657
Ch.59 19236.25594
Ch.60 21969.19317
Ch.61 24807.46310
Ch.62 23986.04657
Ch.63 22379.39559
Ch.64 20469.89824
