This file was gnenerated on 2021-01-24 13:50:51.054136 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  23285.96547
Ch.2  24829.83341
Ch.3  20648.00622
Ch.4  26202.55056
Ch.5  30433.89008
Ch.6  28221.54632
Ch.7  24695.51932
Ch.8  19639.19269
Ch.9  29956.85792
Ch.10 34948.25917
Ch.11 29604.85627
Ch.12 39245.17872
Ch.13 48714.64796
Ch.14 30088.19649
Ch.15 26911.19563
Ch.16 28006.47718
Ch.17 49022.49319
Ch.18 38207.32432
Ch.19 54174.63095
Ch.20 37852.34717
Ch.21 59805.22911
Ch.22 66296.87746
Ch.23 63016.09116
Ch.24 34669.51433
Ch.25 450925.59944
Ch.26 293762.84316
Ch.27 523432.82155
Ch.28 289629.27855
Ch.29 455913.60837
Ch.30 398719.55932
Ch.31 298165.57152
Ch.32 149741.20436
Ch.33 699444.29884
Ch.34 732854.99824
Ch.35 719447.69304
Ch.36 973250.52354
Ch.37 839058.98422
Ch.38 542543.50578
Ch.39 820681.28436
Ch.40 400127.86327
Ch.41 52120.52428
Ch.42 53127.96907
Ch.43 49745.65871
Ch.44 73735.15138
Ch.45 83482.71085
Ch.46 74420.64707
Ch.47 62516.56422
Ch.48 77860.50360
Ch.49 29974.11582
Ch.50 30782.38064
Ch.51 34463.66924
Ch.52 32281.73509
Ch.53 38994.46309
Ch.54 41500.78625
Ch.55 53432.18419
Ch.56 39489.70531
Ch.57 24040.84981
Ch.58 27065.26702
Ch.59 25583.34899
Ch.60 28314.38192
Ch.61 31308.98463
Ch.62 30311.23997
Ch.63 28666.14553
Ch.64 26668.21630
