This file was gnenerated on 2021-01-24 13:50:51.044996 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  21144.20128
Ch.2  22221.74882
Ch.3  19697.09656
Ch.4  21310.94827
Ch.5  22964.13608
Ch.6  21869.62814
Ch.7  20203.88374
Ch.8  18391.32816
Ch.9  24243.83909
Ch.10 27398.28569
Ch.11 23461.63963
Ch.12 27437.38377
Ch.13 30725.37075
Ch.14 22348.32658
Ch.15 21107.60256
Ch.16 21418.83990
Ch.17 43930.40173
Ch.18 45363.99762
Ch.19 63489.85097
Ch.20 42082.19966
Ch.21 66304.01938
Ch.22 72336.96471
Ch.23 74696.53618
Ch.24 35782.05448
Ch.25 95766.28971
Ch.26 92442.53719
Ch.27 182659.28063
Ch.28 107905.55602
Ch.29 175133.88412
Ch.30 164502.60105
Ch.31 120291.19370
Ch.32 69471.61764
Ch.33 74646.90480
Ch.34 113200.45832
Ch.35 121053.27896
Ch.36 176344.19836
Ch.37 152559.06319
Ch.38 105570.38369
Ch.39 145926.13832
Ch.40 79073.13958
Ch.41 37093.00028
Ch.42 59083.43304
Ch.43 54654.87735
Ch.44 79102.83507
Ch.45 84226.76517
Ch.46 75504.26537
Ch.47 56940.23988
Ch.48 71663.48997
Ch.49 23506.09365
Ch.50 23944.92039
Ch.51 24646.48377
Ch.52 23409.50888
Ch.53 25979.44824
Ch.54 25398.09504
Ch.55 29436.02713
Ch.56 24756.81531
Ch.57 21092.84406
Ch.58 22127.60397
Ch.59 21700.02464
Ch.60 22027.80573
Ch.61 22421.99997
Ch.62 21851.06105
Ch.63 20784.76082
Ch.64 20362.59692
