Channel edep
Ch.1  8743.98361
Ch.2  9665.61495
Ch.3  6631.14062
Ch.4  8551.76631
Ch.5  10382.77002
Ch.6  9512.13863
Ch.7  7509.98422
Ch.8  5296.86679
Ch.9  12713.24112
Ch.10 15624.94636
Ch.11 10730.90350
Ch.12 14719.73976
Ch.13 18294.62449
Ch.14 9268.02867
Ch.15 8138.82643
Ch.16 8484.04390
Ch.17 25007.59054
Ch.18 20182.99582
Ch.19 30044.93351
Ch.20 17472.67231
Ch.21 29823.49680
Ch.22 32885.10777
Ch.23 31749.65696
Ch.24 14217.11830
Ch.25 86078.18079
Ch.26 79307.19251
Ch.27 151472.41060
Ch.28 84475.81447
Ch.29 137512.73331
Ch.30 125046.22145
Ch.31 93854.35256
Ch.32 48180.78452
Ch.33 165413.81799
Ch.34 223723.97772
Ch.35 234363.77040
Ch.36 333967.08628
Ch.37 299426.76764
Ch.38 187649.61097
Ch.39 301158.44928
Ch.40 143091.91489
Ch.41 23901.89473
Ch.42 33401.35702
Ch.43 28680.96430
Ch.44 42846.60570
Ch.45 46398.51957
Ch.46 39918.17810
Ch.47 30404.49293
Ch.48 39660.20224
Ch.49 13117.79006
Ch.50 13262.51843
Ch.51 14416.89340
Ch.52 12347.43315
Ch.53 14854.76795
Ch.54 15528.89723
Ch.55 21285.53759
Ch.56 14704.26716
Ch.57 8663.40701
Ch.58 9802.54750
Ch.59 9229.76372
Ch.60 9588.13295
Ch.61 10613.01417
Ch.62 9697.86937
Ch.63 8549.80244
Ch.64 8209.70282
