Channel edep
Ch.1  11748.64273
Ch.2  12171.34226
Ch.3  10752.02875
Ch.4  11722.87490
Ch.5  12726.80860
Ch.6  12104.15547
Ch.7  11183.83333
Ch.8  10123.42463
Ch.9  13268.70667
Ch.10 14445.21936
Ch.11 12355.46620
Ch.12 14119.58064
Ch.13 15734.74155
Ch.14 11806.84351
Ch.15 11198.35377
Ch.16 11413.72044
Ch.17 17892.51464
Ch.18 16126.61490
Ch.19 20187.10122
Ch.20 15015.74171
Ch.21 19908.83246
Ch.22 21517.74482
Ch.23 21255.72229
Ch.24 13499.90302
Ch.25 80066.06333
Ch.26 69217.80687
Ch.27 123857.21071
Ch.28 73080.12483
Ch.29 111713.00530
Ch.30 103569.35944
Ch.31 78369.96874
Ch.32 43446.22768
Ch.33 63775.79591
Ch.34 85889.59291
Ch.35 87760.11113
Ch.36 119378.66670
Ch.37 105270.80971
Ch.38 71635.93607
Ch.39 100595.88269
Ch.40 52644.03377
Ch.41 16143.21819
Ch.42 18692.80512
Ch.43 17350.55707
Ch.44 22561.13366
Ch.45 23551.43956
Ch.46 21895.39528
Ch.47 18921.56156
Ch.48 23001.86471
Ch.49 12880.52291
Ch.50 12738.53206
Ch.51 12944.07962
Ch.52 12141.11117
Ch.53 13156.29226
Ch.54 13346.42671
Ch.55 15290.26136
Ch.56 13065.53951
Ch.57 11719.24478
Ch.58 12182.41111
Ch.59 11889.14582
Ch.60 12183.36327
Ch.61 12533.22258
Ch.62 12161.93967
Ch.63 11626.52819
Ch.64 11441.45209
