This file was gnenerated on 2021-01-24 13:50:51.050636 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  13725.02997
Ch.2  13960.86806
Ch.3  12462.64435
Ch.4  13510.31786
Ch.5  13903.67894
Ch.6  13505.08099
Ch.7  12645.69706
Ch.8  11721.14972
Ch.9  15372.56428
Ch.10 16371.38013
Ch.11 14186.17292
Ch.12 15472.95767
Ch.13 16629.83208
Ch.14 13460.74603
Ch.15 12760.49188
Ch.16 13143.49820
Ch.17 19092.35585
Ch.18 16624.95225
Ch.19 19978.34074
Ch.20 15964.92682
Ch.21 20170.31997
Ch.22 21569.16208
Ch.23 20799.93577
Ch.24 15089.95133
Ch.25 56097.81623
Ch.26 59478.28179
Ch.27 116371.92452
Ch.28 72650.22524
Ch.29 115020.98823
Ch.30 106871.21264
Ch.31 83780.14258
Ch.32 47216.18679
Ch.33 112105.71223
Ch.34 179622.18779
Ch.35 201395.40899
Ch.36 279436.10947
Ch.37 247672.88452
Ch.38 170816.55264
Ch.39 262995.34097
Ch.40 128485.00662
Ch.41 19519.34010
Ch.42 20870.81221
Ch.43 20404.49184
Ch.44 27058.30496
Ch.45 29254.93808
Ch.46 26826.03742
Ch.47 23802.39384
Ch.48 28251.95655
Ch.49 15121.61062
Ch.50 14863.15870
Ch.51 14984.08302
Ch.52 14048.82385
Ch.53 15084.00033
Ch.54 15266.33894
Ch.55 17123.76505
Ch.56 15071.50314
Ch.57 13616.12665
Ch.58 14246.21851
Ch.59 13464.37609
Ch.60 13470.56521
Ch.61 13915.52148
Ch.62 13463.24549
Ch.63 13227.34780
Ch.64 12909.32637
