Channel edep
Ch.1  3752.16501
Ch.2  4281.68499
Ch.3  2967.82320
Ch.4  3736.57339
Ch.5  4748.60045
Ch.6  4204.79807
Ch.7  3353.74556
Ch.8  2386.70807
Ch.9  5059.18314
Ch.10 6264.02260
Ch.11 4313.64186
Ch.12 5855.18890
Ch.13 7131.49987
Ch.14 3748.11833
Ch.15 3264.00448
Ch.16 3386.53557
Ch.17 7384.17933
Ch.18 5477.71697
Ch.19 8004.74961
Ch.20 4871.07203
Ch.21 7786.70497
Ch.22 8485.82845
Ch.23 8022.90016
Ch.24 4035.25408
Ch.25 50676.45464
Ch.26 44835.31013
Ch.27 86046.28263
Ch.28 48368.29981
Ch.29 77461.42967
Ch.30 70305.47104
Ch.31 51981.62795
Ch.32 25389.16787
Ch.33 43481.93372
Ch.34 58851.28389
Ch.35 63619.34412
Ch.36 88543.38169
Ch.37 77052.06032
Ch.38 50668.36129
Ch.39 78542.42872
Ch.40 38470.06102
Ch.41 6142.20563
Ch.42 6873.34549
Ch.43 5856.97420
Ch.44 8277.12688
Ch.45 9111.15953
Ch.46 7870.97113
Ch.47 6614.59601
Ch.48 8586.75741
Ch.49 4715.03681
Ch.50 4678.43816
Ch.51 4810.96693
Ch.52 4139.81315
Ch.53 4849.35088
Ch.54 5083.93930
Ch.55 6769.44103
Ch.56 4753.48027
Ch.57 3763.65044
Ch.58 4231.57757
Ch.59 4121.60309
Ch.60 4271.50878
Ch.61 4552.45549
Ch.62 4295.61033
Ch.63 3694.85688
Ch.64 3599.64088
