Channel edep
Ch.1  474838.86584
Ch.2  482774.28645
Ch.3  464646.70731
Ch.4  495515.25816
Ch.5  528111.32529
Ch.6  517606.14384
Ch.7  492009.16700
Ch.8  463442.81997
Ch.9  729784.58569
Ch.10 848775.48564
Ch.11 710969.42810
Ch.12 898304.05191
Ch.13 1042214.52617
Ch.14 678974.11458
Ch.15 636383.93847
Ch.16 631196.92799
Ch.17 1613865.56351
Ch.18 1254026.32719
Ch.19 1634960.90565
Ch.20 1089819.25285
Ch.21 1600566.74463
Ch.22 1645920.14878
Ch.23 1623812.12404
Ch.24 883913.93890
Ch.25 2258381.18084
Ch.26 1520260.91531
Ch.27 2466070.66380
Ch.28 1451373.03181
Ch.29 2166854.08593
Ch.30 2029916.33917
Ch.31 1576615.63555
Ch.32 1100812.17847
Ch.33 1674925.50145
Ch.34 1821142.82103
Ch.35 1713910.85957
Ch.36 2247946.51804
Ch.37 1951674.91181
Ch.38 1416799.98306
Ch.39 2023586.37921
Ch.40 1197232.24451
Ch.41 1244581.67324
Ch.42 1587175.74470
Ch.43 1342300.30689
Ch.44 1930784.58118
Ch.45 1965437.78913
Ch.46 1684603.49328
Ch.47 1277641.85868
Ch.48 1516965.60867
Ch.49 945375.62883
Ch.50 952690.65759
Ch.51 1048993.01264
Ch.52 936881.46896
Ch.53 1050688.09567
Ch.54 1025710.61782
Ch.55 1274519.66672
Ch.56 971150.06444
Ch.57 483095.10475
Ch.58 501719.17579
Ch.59 502137.41214
Ch.60 521677.63950
Ch.61 537038.06322
Ch.62 538686.31158
Ch.63 519633.53073
Ch.64 509441.96723
