Channel edep
Ch.1  6826.39138
Ch.2  7330.67912
Ch.3  5173.91775
Ch.4  6589.89869
Ch.5  7782.71708
Ch.6  7167.74071
Ch.7  5812.22195
Ch.8  4232.88606
Ch.9  9290.46245
Ch.10 10650.56351
Ch.11 7606.62700
Ch.12 10004.52288
Ch.13 12204.78617
Ch.14 6800.80208
Ch.15 5938.74023
Ch.16 6288.06389
Ch.17 15103.04220
Ch.18 11002.02955
Ch.19 15733.90769
Ch.20 9885.97902
Ch.21 15632.85973
Ch.22 17489.98829
Ch.23 16194.15804
Ch.24 8563.01225
Ch.25 72220.02610
Ch.26 67307.95163
Ch.27 128545.28910
Ch.28 71811.54942
Ch.29 116793.67072
Ch.30 106286.46619
Ch.31 79426.92524
Ch.32 40579.92782
Ch.33 145901.44001
Ch.34 197952.27813
Ch.35 206669.71969
Ch.36 298937.47548
Ch.37 270160.28387
Ch.38 166063.90411
Ch.39 271885.41935
Ch.40 126323.78068
Ch.41 16308.11967
Ch.42 18697.26767
Ch.43 16494.44551
Ch.44 24480.09241
Ch.45 26810.20646
Ch.46 23285.84573
Ch.47 19461.01901
Ch.48 25761.22369
Ch.49 9053.73167
Ch.50 8548.37275
Ch.51 8833.72321
Ch.52 7662.09035
Ch.53 9285.22558
Ch.54 9774.99290
Ch.55 12967.82341
Ch.56 9427.45444
Ch.57 6708.20454
Ch.58 7444.46223
Ch.59 6763.19178
Ch.60 7168.27640
Ch.61 7823.54094
Ch.62 7243.25892
Ch.63 6583.53107
Ch.64 6227.48276
