Channel edep
Ch.1  67841.57852
Ch.2  69343.01582
Ch.3  65297.64498
Ch.4  70636.28712
Ch.5  75007.11814
Ch.6  72681.22926
Ch.7  69281.60148
Ch.8  64254.67271
Ch.9  74639.28681
Ch.10 79410.97714
Ch.11 74184.45188
Ch.12 83976.52482
Ch.13 93439.15042
Ch.14 74610.72202
Ch.15 71527.50889
Ch.16 72516.44611
Ch.17 96220.46929
Ch.18 84431.24071
Ch.19 101710.02875
Ch.20 83910.34969
Ch.21 106455.53468
Ch.22 112908.44202
Ch.23 110124.32618
Ch.24 79673.29720
Ch.25 626324.36157
Ch.26 413546.41615
Ch.27 692715.91994
Ch.28 401783.01496
Ch.29 603912.00309
Ch.30 551724.05392
Ch.31 412788.61571
Ch.32 233584.36728
Ch.33 555800.37007
Ch.34 593899.68374
Ch.35 561678.29180
Ch.36 751024.82914
Ch.37 660113.06835
Ch.38 436675.69185
Ch.39 598536.94075
Ch.40 309926.65191
Ch.41 127010.16966
Ch.42 143240.09393
Ch.43 129251.97087
Ch.44 178073.79633
Ch.45 185368.82969
Ch.46 172411.53887
Ch.47 145559.37715
Ch.48 180569.88379
Ch.49 74982.24290
Ch.50 75619.71409
Ch.51 79273.92559
Ch.52 77234.87497
Ch.53 85185.23246
Ch.54 86369.95752
Ch.55 98313.37648
Ch.56 84272.40851
Ch.57 68555.81749
Ch.58 71453.83553
Ch.59 70054.21981
Ch.60 72564.35165
Ch.61 75513.90527
Ch.62 74648.03474
Ch.63 72874.69627
Ch.64 70980.43345
