Channel edep
Ch.1  13844.82360
Ch.2  14370.41599
Ch.3  12866.59827
Ch.4  13786.32530
Ch.5  14636.84223
Ch.6  14060.54741
Ch.7  13167.54032
Ch.8  12016.49792
Ch.9  15516.40003
Ch.10 17015.09987
Ch.11 14745.92406
Ch.12 16522.53560
Ch.13 18055.15615
Ch.14 14020.97325
Ch.15 13287.63151
Ch.16 13531.38444
Ch.17 19795.82365
Ch.18 19117.88574
Ch.19 24648.98317
Ch.20 18618.71586
Ch.21 25181.18110
Ch.22 27113.11374
Ch.23 27385.66954
Ch.24 16749.68528
Ch.25 73154.09649
Ch.26 72003.53011
Ch.27 143003.89964
Ch.28 84263.18520
Ch.29 131107.07688
Ch.30 122259.18967
Ch.31 93127.19981
Ch.32 52020.84576
Ch.33 59776.66504
Ch.34 90656.04706
Ch.35 98876.69886
Ch.36 144850.25692
Ch.37 124587.28022
Ch.38 85298.89722
Ch.39 120404.02482
Ch.40 63516.92800
Ch.41 18199.52740
Ch.42 22397.12477
Ch.43 21757.45178
Ch.44 29562.66436
Ch.45 31141.58368
Ch.46 28800.69833
Ch.47 24092.86223
Ch.48 29259.40140
Ch.49 14963.90918
Ch.50 15054.36438
Ch.51 15297.70078
Ch.52 14434.62722
Ch.53 15453.02190
Ch.54 15368.33916
Ch.55 17309.61488
Ch.56 15063.35042
Ch.57 13763.35445
Ch.58 14302.93163
Ch.59 13954.32205
Ch.60 14110.05974
Ch.61 14376.36696
Ch.62 13980.92302
Ch.63 13516.03087
Ch.64 13228.41906
