This file was gnenerated on 2021-01-24 13:50:51.054547 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  11531.19263
Ch.2  12193.59842
Ch.3  10269.40209
Ch.4  11477.75262
Ch.5  12435.32799
Ch.6  11999.71483
Ch.7  10724.41550
Ch.8  9403.17450
Ch.9  14036.14702
Ch.10 16429.63919
Ch.11 13150.75725
Ch.12 15729.02793
Ch.13 18031.41037
Ch.14 12124.26922
Ch.15 11310.58901
Ch.16 11492.51107
Ch.17 21299.22352
Ch.18 19304.09123
Ch.19 26477.90273
Ch.20 18252.01395
Ch.21 27024.44257
Ch.22 29122.76516
Ch.23 28367.10718
Ch.24 15820.49484
Ch.25 52732.10796
Ch.26 53925.70006
Ch.27 106748.97792
Ch.28 65418.80681
Ch.29 104177.49130
Ch.30 96579.13557
Ch.31 74832.99126
Ch.32 41477.63625
Ch.33 87227.13897
Ch.34 132098.92890
Ch.35 153285.61942
Ch.36 215793.85193
Ch.37 190616.95659
Ch.38 125013.96556
Ch.39 194923.75469
Ch.40 97438.87640
Ch.41 20211.49974
Ch.42 27641.97783
Ch.43 25876.13761
Ch.44 36916.78987
Ch.45 39834.08911
Ch.46 35313.82851
Ch.47 28053.42997
Ch.48 34882.26196
Ch.49 14281.09021
Ch.50 14835.84239
Ch.51 15742.53678
Ch.52 14271.27101
Ch.53 16035.32595
Ch.54 16206.06012
Ch.55 19961.97428
Ch.56 15625.65909
Ch.57 11399.43748
Ch.58 12387.42245
Ch.59 11922.47083
Ch.60 12111.47459
Ch.61 12538.10180
Ch.62 11958.65292
Ch.63 11228.22720
Ch.64 11005.95730
