Channel edep
Ch.1  19404.30599
Ch.2  20005.59504
Ch.3  17905.36812
Ch.4  19379.07373
Ch.5  20976.50072
Ch.6  20001.84590
Ch.7  18626.56982
Ch.8  17005.93402
Ch.9  22058.92804
Ch.10 24228.12710
Ch.11 20825.70230
Ch.12 23973.95989
Ch.13 26756.23092
Ch.14 20012.08160
Ch.15 19082.59493
Ch.16 19348.24760
Ch.17 44432.12918
Ch.18 42568.15694
Ch.19 56274.91673
Ch.20 36643.28184
Ch.21 56546.28236
Ch.22 61298.81044
Ch.23 62967.41131
Ch.24 31036.13061
Ch.25 101296.25514
Ch.26 87019.74661
Ch.27 160868.38367
Ch.28 91732.81963
Ch.29 140444.13520
Ch.30 128934.36538
Ch.31 99104.85883
Ch.32 58053.96819
Ch.33 77978.03522
Ch.34 105096.98035
Ch.35 105372.27361
Ch.36 144345.19378
Ch.37 126791.17217
Ch.38 87738.68694
Ch.39 119800.17541
Ch.40 65617.45113
Ch.41 36256.58587
Ch.42 53824.59246
Ch.43 47073.24248
Ch.44 65211.83101
Ch.45 68833.72866
Ch.46 61528.93563
Ch.47 47309.97327
Ch.48 59364.49740
Ch.49 21430.02639
Ch.50 21342.72521
Ch.51 21693.89378
Ch.52 20634.91329
Ch.53 22821.84629
Ch.54 22611.59743
Ch.55 25929.39897
Ch.56 22150.21640
Ch.57 19331.70380
Ch.58 20053.97666
Ch.59 19663.94812
Ch.60 20133.72006
Ch.61 20629.43834
Ch.62 20075.87640
Ch.63 19224.64529
Ch.64 18945.54340
