This file was gnenerated on 2021-01-24 13:50:51.055098 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  38483.92678
Ch.2  39382.46837
Ch.3  36595.07939
Ch.4  38020.87950
Ch.5  40114.97684
Ch.6  39227.92084
Ch.7  37465.65117
Ch.8  35604.47592
Ch.9  42128.43818
Ch.10 44554.72048
Ch.11 39955.84713
Ch.12 43501.75045
Ch.13 46611.26704
Ch.14 38664.30159
Ch.15 37933.22125
Ch.16 38154.59856
Ch.17 52850.05740
Ch.18 47445.71620
Ch.19 55851.44422
Ch.20 45917.08286
Ch.21 55757.47791
Ch.22 58439.41509
Ch.23 56898.10613
Ch.24 43116.24467
Ch.25 126116.68652
Ch.26 118227.86251
Ch.27 189570.77148
Ch.28 122588.33874
Ch.29 176140.25701
Ch.30 162216.52386
Ch.31 131985.56281
Ch.32 84691.65654
Ch.33 208366.40992
Ch.34 285327.77665
Ch.35 294911.20737
Ch.36 483994.11657
Ch.37 345908.89731
Ch.38 244549.97751
Ch.39 361085.97108
Ch.40 184160.53878
Ch.41 54215.51431
Ch.42 61556.13238
Ch.43 57231.12404
Ch.44 71271.31838
Ch.45 74523.89695
Ch.46 68536.35784
Ch.47 60613.31542
Ch.48 70698.29657
Ch.49 42413.31255
Ch.50 41870.10531
Ch.51 42411.17023
Ch.52 40777.68026
Ch.53 42913.01805
Ch.54 43572.38884
Ch.55 48624.31182
Ch.56 43052.56899
Ch.57 38391.38869
Ch.58 39127.58697
Ch.59 38908.11406
Ch.60 39157.34190
Ch.61 39928.82961
Ch.62 39139.25098
Ch.63 37952.74056
Ch.64 37902.15703
