Channel edep
Ch.1  27436.90579
Ch.2  27894.59714
Ch.3  26032.88632
Ch.4  27266.94513
Ch.5  27909.23664
Ch.6  27420.18342
Ch.7  26393.04084
Ch.8  25272.28901
Ch.9  29624.07680
Ch.10 31287.32179
Ch.11 28361.21506
Ch.12 30163.71346
Ch.13 31833.98066
Ch.14 27481.83578
Ch.15 26726.77286
Ch.16 27114.65916
Ch.17 35409.40097
Ch.18 32443.72010
Ch.19 37795.75196
Ch.20 31862.30739
Ch.21 38068.18875
Ch.22 40163.11927
Ch.23 38817.24111
Ch.24 30422.82000
Ch.25 81358.79781
Ch.26 83280.19711
Ch.27 158467.39244
Ch.28 95348.58707
Ch.29 155183.57125
Ch.30 146140.43167
Ch.31 109398.77913
Ch.32 69478.75694
Ch.33 140282.20787
Ch.34 205965.06110
Ch.35 218565.05401
Ch.36 275797.90405
Ch.37 256968.58301
Ch.38 188797.49737
Ch.39 271229.85637
Ch.40 155657.21131
Ch.41 36244.86188
Ch.42 40120.51010
Ch.43 39072.59854
Ch.44 49165.91111
Ch.45 51684.31479
Ch.46 48005.70413
Ch.47 43424.86238
Ch.48 50430.73664
Ch.49 29537.43023
Ch.50 29460.72186
Ch.51 29675.13637
Ch.52 28550.15934
Ch.53 29907.70139
Ch.54 30207.15575
Ch.55 32862.31344
Ch.56 29957.98741
Ch.57 27309.19732
Ch.58 28050.27535
Ch.59 27338.00019
Ch.60 27404.47278
Ch.61 27918.63921
Ch.62 27418.33861
Ch.63 26979.33337
Ch.64 26705.88489
