Channel edep
Ch.1  10261.07123
Ch.2  10753.99257
Ch.3  9111.93316
Ch.4  10088.13520
Ch.5  10682.10450
Ch.6  10278.92428
Ch.7  9330.92998
Ch.8  8393.88551
Ch.9  12056.48794
Ch.10 13376.89584
Ch.11 11012.80155
Ch.12 12512.33454
Ch.13 13900.88136
Ch.14 10169.42584
Ch.15 9558.02011
Ch.16 9835.15821
Ch.17 16181.48312
Ch.18 14032.04144
Ch.19 17904.23811
Ch.20 13446.22499
Ch.21 18172.68772
Ch.22 19721.67351
Ch.23 18828.54742
Ch.24 12181.33994
Ch.25 50905.33014
Ch.26 53084.34823
Ch.27 105239.80485
Ch.28 64645.23690
Ch.29 103093.75540
Ch.30 95733.79651
Ch.31 73708.43137
Ch.32 40399.01813
Ch.33 89230.96040
Ch.34 135510.45920
Ch.35 158268.98761
Ch.36 226311.23379
Ch.37 198885.09814
Ch.38 128625.56888
Ch.39 206623.95684
Ch.40 100105.10365
Ch.41 16691.95990
Ch.42 19816.71098
Ch.43 19042.78343
Ch.44 26728.20238
Ch.45 28873.71641
Ch.46 26001.16871
Ch.47 22090.94514
Ch.48 27444.76229
Ch.49 11892.06182
Ch.50 11800.35691
Ch.51 11988.05144
Ch.52 11115.45628
Ch.53 12203.65619
Ch.54 12405.75212
Ch.55 14484.85304
Ch.56 12115.70040
Ch.57 10232.03038
Ch.58 10854.26693
Ch.59 10241.43294
Ch.60 10360.15539
Ch.61 10751.49316
Ch.62 10260.83318
Ch.63 9900.26211
Ch.64 9600.80781
