Distance_(mm),Gray_Value
0,0.000
2,0.000
4,0.000
6,0.000
8,0.000
10,0.000
12,0.000
14,0.000
16,0.000
18,0.000
20,0.000
22,0.000
24,0.000
26,0.000
28,0.000
30,0.000
32,612.980
34,1673.401
36,2934.619
38,4244.589
40,5655.188
42,7245.252
44,8684.976
46,10295.312
48,11754.906
50,13719.024
52,15776.966
54,17564.391
56,19525.154
58,21411.742
60,23733.490
62,25763.623
64,27869.852
66,30195.361
68,32418.396
70,34644.422
72,36807.820
74,39202.078
76,41368.930
78,43694.238
80,46266.078
82,49729.184
84,52779.297
86,54865.719
88,57176.480
90,59528.367
92,61877.938
94,64425.387
96,67054.578
98,69867.148
100,72772.422
102,75768.625
104,78936.602
106,82251.477
108,85732.086
110,89344.094
112,93198.805
114,97246.062
116,101447.383
118,105908.086
120,110580.570
122,115491.703
124,120703.594
126,126179.734
128,131955.172
130,138049.062
132,144519.812
134,151374.797
136,158654.406
138,166392.781
140,174614.578
142,183381.609
144,192622.594
146,202389.875
148,212725.188
150,223741.969
152,235570.562
154,248233.938
156,261946.250
158,276731.969
160,292647.969
162,310030.094
164,329271.219
166,350879.656
168,375877.656
170,405476.344
172,441614.969
174,487165.281
176,547073.438
178,629224.375
180,747305.250
182,926718.938
184,1220226.250
186,1755705.500
188,2813094.500
190,4847843.500
192,7511154.500
194,9236865.000
196,9944004.000
198,10249982.000
200,10374831.000
202,10374349.000
204,10237552.000
206,9926620.000
208,9212576.000
210,7480760.000
212,4815062.000
214,2788301.000
216,1740091.000
218,1210687.500
220,920730.938
222,743653.625
224,627020.438
226,545690.250
228,486289.844
230,441102.594
232,405245.031
234,375819.875
236,350794.250
238,329041.562
240,309578.062
242,291998.094
244,276044.188
246,261378.641
248,247812.547
250,235187.844
252,223318.547
254,212148.641
256,201635.578
258,191743.625
260,182511.375
262,173848.672
264,165713.547
266,158016.672
268,150761.969
270,143894.172
272,137395.547
274,131242.812
276,125450.336
278,119915.617
280,114736.242
282,109811.727
284,105113.117
286,100681.375
288,96453.789
290,92468.445
292,88622.930
294,84985.266
296,81531.117
298,78269.414
300,75110.039
302,72090.656
304,69229.547
306,66511.828
308,63894.387
310,61357.562
312,59003.660
314,56635.375
316,54446.629
318,52293.262
320,49325.414
322,45773.059
324,43262.078
326,40960.723
328,38773.781
330,36484.543
332,34203.863
334,32024.707
336,29885.064
338,27496.178
340,25377.100
342,23410.268
344,21230.896
346,19207.564
348,17254.668
350,15508.876
352,13588.495
354,11602.980
356,10112.411
358,8492.584
360,7071.352
362,5539.945
364,4199.832
366,2864.401
368,1628.441
370,593.955
372,0.000
374,0.000
376,0.000
378,0.000
380,0.000
382,0.000
384,0.000
386,0.000
388,0.000
390,0.000
392,0.000
394,0.000
396,0.000
398,NaN
400,NaN
