Distance_(mm),Gray_Value
0,0.000
2,0.000
4,0.000
6,0.000
8,0.000
10,0.000
12,0.000
14,0.000
16,0.000
18,0.000
20,0.000
22,0.000
24,0.000
26,365.351
28,3034.356
30,6245.213
32,10139.198
34,13855.758
36,17745.104
38,22429.010
40,26851.812
42,31506.980
44,36928.160
46,42047.902
48,48026.387
50,53506.133
52,59382.410
54,65965.953
56,72212.859
58,78641.117
60,85668.156
62,92409.844
64,99212.969
66,106609.617
68,113466.914
70,120426.320
72,127722.773
74,134594.500
76,141519.234
78,149409.078
80,158272.891
82,164153.562
84,170202.328
86,176527.297
88,183175.094
90,190103.328
92,197297.469
94,204845.781
96,212811.125
98,221114.625
100,229829.000
102,239040.156
104,248625.656
106,258740.516
108,269369.562
110,280541.094
112,292283.188
114,304644.844
116,317654.656
118,331355.344
120,345848.250
122,361196.531
124,377335.062
126,394289.000
128,412080.094
130,430842.094
132,450596.250
134,471476.125
136,493558.281
138,516958.844
140,541553.938
142,567341.938
144,594436.438
146,622921.750
148,652956.375
150,684770.250
152,718412.062
154,753859.688
156,791055.250
158,830219.000
160,871627.188
162,915650.500
164,963018.125
166,1014568.812
168,1071714.625
170,1136944.750
172,1215417.250
174,1317757.250
176,1467830.250
178,1726957.000
180,2245460.500
182,3349382.000
184,5455296.500
186,8723073.000
188,12002699.000
190,13839239.000
192,14507767.000
194,14769889.000
196,14896345.000
198,14957047.000
200,14981417.000
202,14979763.000
204,14952720.000
206,14889541.000
208,14760884.000
210,14498252.000
212,13826366.000
214,11986318.000
216,8704459.000
218,5438294.000
220,3335930.250
222,2234737.750
224,1717831.750
226,1459614.500
228,1309971.375
230,1207944.375
232,1129634.750
234,1064627.125
236,1007637.750
238,956098.125
240,908759.688
242,864885.625
244,823810.750
246,784958.250
248,748161.812
250,713021.938
252,679561.750
254,647765.250
256,617848.750
258,589524.625
260,562636.438
262,537109.000
264,512773.031
266,489612.500
268,467540.781
270,446702.406
272,427035.094
274,408440.781
276,390793.625
278,374024.531
280,358088.812
282,342910.781
284,328535.156
286,314928.531
288,302054.281
290,289839.094
292,278257.125
294,267220.500
296,256760.625
298,246733.547
300,237174.750
302,228070.844
304,219384.609
306,211131.469
308,203204.625
310,195678.594
312,188501.719
314,181610.375
316,175054.781
318,168703.766
320,162702.219
322,156880.344
324,148039.016
326,140150.453
328,133283.031
330,126451.422
332,119209.273
334,112320.039
336,105438.383
338,98093.828
340,91309.383
342,84685.875
344,77651.656
346,71251.609
348,65134.773
350,58600.191
352,52782.188
354,46729.238
356,41382.340
358,36368.816
360,30950.193
362,26386.936
364,22009.193
366,17406.719
368,13554.505
370,9916.807
372,6088.327
374,2951.144
376,355.693
378,0.000
380,0.000
382,0.000
384,0.000
386,0.000
388,0.000
390,0.000
392,0.000
394,0.000
396,0.000
398,NaN
400,NaN
