Distance_(mm),Gray_Value
0,0.000
2,0.000
4,0.000
6,0.000
8,0.000
10,0.000
12,0.000
14,0.000
16,0.000
18,96.292
20,1890.946
22,4439.406
24,7131.386
26,10081.545
28,13156.069
30,16388.545
32,19905.961
34,23483.197
36,27389.455
38,31319.590
40,35610.754
42,39970.922
44,44492.449
46,49272.422
48,54065.512
50,59159.281
52,64295.820
54,69598.445
56,74992.898
58,80472.891
60,86444.578
62,91947.125
64,97504.523
66,103132.492
68,108726.875
70,114309.719
72,120046.578
74,127822.359
76,132561.141
78,137471.766
80,142566.062
82,147925.891
84,153480.125
86,159297.266
88,165413.266
90,171779.562
92,178417.672
94,185379.375
96,192652.250
98,200285.359
100,208318.828
102,216714.641
104,225547.828
106,234763.031
108,244460.484
110,254638.344
112,265321.000
114,276603.281
116,288451.500
118,300934.344
120,314014.906
122,327755.625
124,342194.750
126,357376.562
128,373333.688
130,390199.844
132,408025.500
134,426716.906
136,446344.062
138,466949.500
140,488577.000
142,511391.781
144,535416.875
146,560856.312
148,587622.750
150,615714.438
152,645308.000
154,676445.438
156,709442.188
158,744660.688
160,782723.562
162,824276.625
164,870916.375
166,925427.500
168,993858.625
170,1088434.375
172,1239339.500
174,1535683.250
176,2141577.000
178,3242742.250
180,4985822.500
182,7285732.500
184,9139768.000
186,9892422.000
188,10156917.000
190,10284479.000
192,10355179.000
194,10395656.000
196,10420514.000
198,10432974.000
200,10438629.000
202,10439271.000
204,10433285.000
206,10420829.000
208,10394675.000
210,10350734.000
212,10278945.000
214,10150095.000
216,9884714.000
218,9130673.000
220,7274946.000
222,4975533.500
224,3233799.750
226,2133863.500
228,1528937.750
230,1233044.375
232,1082214.625
234,987702.938
236,919304.562
238,865025.562
240,818668.062
242,777334.062
244,739503.125
246,704225.000
248,671152.875
250,640131.188
252,610780.938
254,583016.688
256,556637.000
258,531512.312
260,507606.844
262,484818.500
264,463257.594
266,442778.688
268,423371.688
270,404913.062
272,387325.406
274,370601.562
276,354632.875
278,339454.312
280,325097.094
282,311424.062
284,298471.156
286,286197.156
288,274462.031
290,263278.938
292,252617.781
294,242517.844
296,232910.141
298,223759.469
300,215024.672
302,206691.578
304,198727.109
306,191127.594
308,183866.516
310,176947.328
312,170343.578
314,164017.953
316,157984.344
318,152149.359
320,146648.375
322,141328.953
324,136264.047
326,131360.234
328,126682.594
330,118906.289
332,113142.930
334,107607.844
336,102057.531
338,96535.828
340,91007.820
342,85451.742
344,79562.711
346,74130.992
348,68710.305
350,63531.781
352,58380.551
354,53410.355
356,48560.594
358,43888.723
360,39364.043
362,35066.848
364,30819.238
366,26922.164
368,23087.535
370,19535.223
372,16097.045
374,12861.945
376,9864.297
378,6953.233
380,4314.515
382,1832.173
384,94.455
386,0.000
388,0.000
390,0.000
392,0.000
394,0.000
396,0.000
398,NaN
400,NaN
