Distance_(mm),Gray_Value
0,0.000
2,0.000
4,0.000
6,0.000
8,0.000
10,0.000
12,0.000
14,0.000
16,0.000
18,0.000
20,0.000
22,0.000
24,0.000
26,0.000
28,0.000
30,0.000
32,1387.970
34,4309.005
36,7961.807
38,11875.936
40,15567.045
42,19995.693
44,24186.104
46,29071.025
48,33752.340
50,39162.539
52,44936.914
54,50194.410
56,56411.941
58,62215.965
60,68751.234
62,74941.477
64,81739.219
66,88800.008
68,95362.992
70,102500.523
72,109174.258
74,116301.422
76,123279.773
78,129870.398
80,136693.984
82,144442.984
84,152472.812
86,158021.469
88,163803.812
90,169827.859
92,176049.297
94,182587.312
96,189421.859
98,196533.328
100,204004.797
102,211842.281
104,219974.688
106,228566.453
108,237513.328
110,246886.250
112,256748.484
114,267145.594
116,278001.375
118,289460.281
120,301511.688
122,314212.750
124,327612.469
126,341726.125
128,356656.219
130,372467.062
132,389230.531
134,407013.844
136,425894.062
138,446012.406
140,467527.594
142,490403.188
144,514550.094
146,539927.000
148,566694.250
150,595040.375
152,625244.750
154,657513.938
156,692003.188
158,728448.500
160,766748.500
162,806985.125
164,849472.875
166,894695.500
168,943213.062
170,996252.938
172,1054607.000
174,1120037.750
176,1196801.625
178,1292370.000
180,1422079.500
182,1618315.250
184,1960286.500
186,2689782.250
188,4425197.500
190,8373865.000
192,14073907.000
194,17639474.000
196,18838560.000
198,19258200.000
200,19407822.000
202,19403176.000
204,19242672.000
206,18819566.000
208,17615836.000
210,14044656.000
212,8346225.500
214,4403153.000
216,2672004.000
218,1944222.875
220,1603361.500
222,1408397.125
224,1279907.750
226,1185527.625
228,1110186.875
230,1046415.062
232,989957.375
234,938532.688
236,890658.125
238,845652.562
240,803101.312
242,762715.688
244,724847.250
246,689235.750
248,655613.938
250,623845.000
252,593627.438
254,564897.562
256,537591.062
258,511934.281
260,487946.500
262,465473.094
264,444329.875
266,424404.406
268,405556.562
270,387704.344
272,370794.656
274,354803.156
276,339771.188
278,325567.938
280,312132.062
282,299420.844
284,287347.656
286,275904.000
288,265034.688
290,254654.078
292,244849.062
294,235513.234
296,226632.750
298,218160.547
300,210069.828
302,202329.391
304,194952.359
306,187887.219
308,181130.266
310,174654.031
312,168439.156
314,162472.297
316,156710.891
318,151167.047
320,143196.516
322,135439.594
324,128628.922
326,122079.633
328,115128.195
330,108071.469
332,101466.773
334,94389.711
336,87809.914
338,80870.453
340,74058.562
342,67870.438
344,61399.711
346,55647.902
348,49543.719
350,44244.766
352,38576.652
354,33231.523
356,28565.688
358,23744.000
360,19597.668
362,15257.440
364,11600.440
366,7779.193
368,4197.233
370,1347.040
372,0.000
374,0.000
376,0.000
378,0.000
380,0.000
382,0.000
384,0.000
386,0.000
388,0.000
390,0.000
392,0.000
394,0.000
396,0.000
398,NaN
400,NaN
