barID edep
0 2323.70000
1 3544.93000
2 3678.77000
3 3548.21000
4 3555.50000
5 3394.56000
6 3431.98000
7 3210.72000
8 2487.50000
9 3774.08000
10 3893.49000
11 3900.69000
12 3785.92000
13 3639.79000
14 3581.40000
15 3483.79000
16 2463.37000
17 3754.48000
18 3842.26000
19 3779.51000
20 3660.95000
21 3694.38000
22 3534.71000
23 3411.42000
24 2452.83000
25 3734.55000
26 3981.93000
27 3898.89000
28 3800.59000
29 3650.43000
30 3526.23000
31 3398.75000
32 2398.56000
33 3661.63000
34 3855.64000
35 3812.15000
36 3673.02000
37 3687.39000
38 3503.30000
39 3384.61000
40 2417.84000
41 3687.80000
42 3979.55000
43 3942.00000
44 3840.10000
45 3664.51000
46 3514.75000
47 3363.25000
48 2482.47000
49 3602.29000
50 3845.83000
51 3837.71000
52 3728.96000
53 3731.21000
54 3673.10000
55 3410.57000
56 2438.31000
57 3471.16000
58 3804.67000
59 3586.56000
60 3566.62000
61 3469.26000
62 3413.80000
63 3122.25000
