barID edep
0 20.78300
1 15.03110
2 17.44280
3 22.45160
4 14.77110
5 14.06400
6 23.27600
7 17.74160
8 33.95730
9 33.11390
10 30.03170
11 30.15800
12 44.04980
13 32.98060
14 36.64920
15 30.74400
16 82.87750
17 122.24300
18 160.66800
19 181.22700
20 195.47200
21 169.65100
22 167.43200
23 167.97200
24 666.22300
25 1020.91000
26 1109.02000
27 1154.09000
28 1112.41000
29 1081.47000
30 1037.97000
31 1012.96000
32 647.40600
33 1050.47000
34 1163.34000
35 1165.80000
36 1089.27000
37 1140.18000
38 1053.05000
39 997.73300
40 79.58440
41 133.88200
42 159.82300
43 160.13500
44 179.55000
45 168.53700
46 201.58200
47 186.36600
48 23.47030
49 24.01600
50 34.37410
51 28.26850
52 26.20360
53 38.83810
54 33.01630
55 38.61890
56 22.32960
57 24.54610
58 21.55620
59 16.00070
60 20.29260
61 21.55370
62 20.73990
63 19.79340
