barID edep
0 2819.40000
1 4076.98000
2 4370.36000
3 4303.19000
4 4003.49000
5 3892.05000
6 3911.06000
7 3765.26000
8 2873.87000
9 4195.37000
10 4480.26000
11 4502.21000
12 4350.33000
13 4234.20000
14 4081.86000
15 4044.09000
16 2881.63000
17 4238.96000
18 4443.50000
19 4513.24000
20 4353.99000
21 4300.12000
22 4153.87000
23 3986.23000
24 2867.25000
25 4240.33000
26 4461.52000
27 4512.49000
28 4407.79000
29 4273.26000
30 4059.19000
31 3910.39000
32 2803.73000
33 4227.06000
34 4480.50000
35 4556.16000
36 4364.05000
37 4252.08000
38 4196.13000
39 3945.64000
40 2805.61000
41 4263.70000
42 4393.49000
43 4394.30000
44 4280.46000
45 4190.22000
46 4061.85000
47 3908.07000
48 2839.99000
49 4305.46000
50 4615.72000
51 4517.14000
52 4420.13000
53 4165.31000
54 4073.74000
55 3991.56000
56 2813.39000
57 4090.42000
58 4278.68000
59 4298.50000
60 4168.09000
61 3972.30000
62 3765.75000
63 3582.65000
