barID edep
0 1956.51000
1 2988.56000
2 3081.04000
3 3006.98000
4 2944.16000
5 2910.77000
6 2710.15000
7 2655.29000
8 2074.27000
9 3168.03000
10 3295.91000
11 3252.78000
12 3089.03000
13 3017.99000
14 3010.32000
15 2862.34000
16 2017.49000
17 3135.81000
18 3288.85000
19 3192.34000
20 3262.26000
21 3117.31000
22 2939.92000
23 2761.36000
24 2023.54000
25 2992.47000
26 3183.85000
27 3124.36000
28 3084.35000
29 2978.27000
30 2986.95000
31 2944.20000
32 2081.75000
33 2971.95000
34 3277.18000
35 3134.47000
36 3128.15000
37 3045.06000
38 2951.97000
39 2848.04000
40 1985.09000
41 3009.15000
42 3156.18000
43 3302.63000
44 3234.98000
45 3034.33000
46 2887.29000
47 2839.76000
48 2030.32000
49 3067.28000
50 3212.81000
51 3224.48000
52 3068.19000
53 3032.78000
54 2962.24000
55 2808.06000
56 1947.07000
57 2999.87000
58 3048.86000
59 3012.36000
60 2984.96000
61 2877.65000
62 2711.08000
63 2656.17000
